FedEx Express U.S. Package Standard List Rates: FedEx 2Day®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
FedEx® Envelope up to 8 oz.	$11.35 	$11.60 	$12.05 	$13.70 	$17.25 	$18.05 	$18.30 	$27.05 	$34.70 	$16.10 
1	$11.35 	$11.60 	$12.05 	$13.70 	$17.25 	$18.05 	$18.30 	$27.05 	$34.70 	$16.10 
2	$11.50 	$11.85 	$12.30 	$14.60 	$19.05 	$20.75 	$21.65 	$30.20 	$41.50 	$17.50 
3	$11.55 	$12.20 	$13.00 	$16.05 	$21.90 	$24.05 	$24.85 	$34.50 	$43.10 	$20.40 
4	$11.90 	$12.60 	$14.05 	$18.70 	$25.30 	$27.45 	$28.30 	$36.80 	$45.00 	$23.80 
5	$12.25 	$13.05 	$15.30 	$20.75 	$28.20 	$30.50 	$32.20 	$39.95 	$46.60 	$25.90 
6	$12.80 	$13.55 	$16.65 	$22.65 	$31.40 	$33.90 	$35.30 	$42.40 	$49.10 	$29.65 
7	$13.30 	$14.85 	$18.05 	$24.75 	$35.30 	$37.60 	$38.80 	$45.70 	$51.30 	$32.70 
8	$13.85 	$16.20 	$19.30 	$26.95 	$39.00 	$41.45 	$42.70 	$48.05 	$53.75 	$34.70 
9	$14.60 	$16.90 	$20.85 	$28.95 	$42.40 	$45.40 	$46.90 	$51.45 	$56.60 	$36.15 
10	$15.25 	$17.95 	$22.45 	$30.90 	$45.30 	$49.40 	$50.70 	$55.75 	$59.00 	$38.10 
11	$15.95 	$18.90 	$23.50 	$33.05 	$48.90 	$53.00 	$54.90 	$59.10 	$60.50 	$39.70 
12	$16.80 	$20.00 	$24.80 	$34.90 	$52.65 	$56.80 	$58.65 	$61.20 	$63.00 	$42.40 
13	$17.95 	$21.05 	$25.70 	$37.00 	$56.10 	$59.50 	$62.05 	$63.40 	$64.75 	$43.75 
14	$18.80 	$22.15 	$27.35 	$39.15 	$59.50 	$62.65 	$64.85 	$65.90 	$67.30 	$44.10 
15	$19.55 	$22.70 	$28.70 	$40.65 	$62.65 	$65.40 	$67.80 	$68.90 	$70.95 	$46.10 
16	$20.00 	$23.45 	$29.95 	$41.95 	$65.40 	$68.75 	$70.65 	$71.75 	$74.95 	$47.50 
