HTTP/1.1 200 OK
Server: Netscape-Enterprise/6.0
Cteonnt-length: 1528
Content-Type: text/csv
ETag: "9f3a6695-c75-0-5f8"
Last-Modified: Wed, 30 Mar 2011 20:29:02 GMT
Date: Sat, 28 May 2011 06:48:46 GMT
Content-Length: 1528
Connection: keep-alive

Bound Printed Matter - Flats,,,Pg 22,,,,
,,,,,,,
Carrier Route and Presorted,,,,,,,
,Carrier Route,,,,Presorted,,
Zone,Price per piece,+,Price per pound,,Price per piece,+,Price per pound
"Local, 1 & 2",1.146,+,0.137,,1.244,+,0.137
3,1.146,+,0.153,,1.244,+,0.153
4,1.146,+,0.195,,1.244,+,0.195
5,1.146,+,0.248,,1.244,+,0.248
6,1.146,+,0.316,,1.244,+,0.316
7,1.146,+,0.356,,1.244,+,0.356
8,1.146,+,0.475,,1.244,+,0.475
Destination Entry,,,,,,,
DNDC,,,,,,,
1 & 2,0.972,+,0.064,,1.07,+,0.064
3,0.972,+,0.079,,1.07,+,0.079
4,0.972,+,0.129,,1.07,+,0.129
5,0.972,+,0.185,,1.07,+,0.185
DSCF,0.531,+,0.042,,0.629,+,0.042
DDU,0.384,+,0.023,,0.482,+,0.023
,,,,,,,
Nonpresort,,,,,,,
Weight,Zones 1&2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8
1,1.84,1.89,1.95,2.04,2.14,2.2,2.4
1.5,1.84,1.89,1.95,2.04,2.14,2.2,2.4
2,1.93,1.99,2.07,2.19,2.33,2.41,2.67
2.5,2.02,2.1,2.2,2.35,2.52,2.62,2.95
3,2.11,2.2,2.32,2.5,2.71,2.83,3.22
3.5,2.2,2.31,2.45,2.66,2.9,3.04,3.5
4,2.29,2.41,2.57,2.81,3.09,3.25,3.77
4.5,2.38,2.52,2.7,2.97,3.28,3.46,4.05
5,2.47,2.62,2.82,3.12,3.47,3.67,4.32
6,2.65,2.83,3.07,3.43,3.85,4.09,4.87
7,2.83,3.04,3.32,3.74,4.23,4.51,5.42
8,3.01,3.25,3.57,4.05,4.61,4.93,5.97
9,3.19,3.46,3.82,4.36,4.99,5.35,6.52
10,3.37,3.67,4.07,4.67,5.37,5.77,7.07
11,3.55,3.88,4.32,4.98,5.75,6.19,7.62
12,3.73,4.09,4.57,5.29,6.13,6.61,8.17
13,3.91,4.3,4.82,5.6,6.51,7.03,8.72
14,4.09,4.51,5.07,5.91,6.89,7.45,9.27
15,4.27,4.72,5.32,6.22,7.27,7.87,9.82
,,,,,,,
,,,,,,,
Pre-barcoded Discount,,,0.03,,,,
