HTTP/1.1 200 OK
Server: Netscape-Enterprise/6.0
Cteonnt-length: 1531
Content-Type: text/csv
ETag: "c8698ae5-f0-0-5fb"
Last-Modified: Wed, 30 Mar 2011 20:29:02 GMT
Date: Sat, 28 May 2011 06:48:57 GMT
Content-Length: 1531
Connection: keep-alive

Bound Printed Matter - Parcels,,,,Pg 22,,,
,,,,,,,
Carrier Route and Presorted,,,,,,,
,Carrier Route,,,,Presorted,,
Zone,Price per piece,+,Price per pound,,Price per piece,+,Price per pound
"Local, 1 & 2",1.353,+,0.165,,1.451,+,0.165
3,1.353,+,0.196,,1.451,+,0.196
4,1.353,+,0.237,,1.451,+,0.237
5,1.353,+,0.303,,1.451,+,0.303
6,1.353,+,0.374,,1.451,+,0.374
7,1.353,+,0.428,,1.451,+,0.428
8,1.353,+,0.568,,1.451,+,0.568
Destination Entry,,,,,,,
DNDC,,,,,,,
1 & 2,1.179,+,0.074,,1.277,+,0.074
3,1.179,+,0.102,,1.277,+,0.102
4,1.179,+,0.149,,1.277,+,0.149
5,1.179,+,0.211,,1.277,+,0.211
DSCF,0.737,+,0.061,,0.835,+,0.061
DDU,0.591,+,0.026,,0.689,+,0.026
,,,,,,,
Nonpresort,,,,,,,
Weight,Zones 1&2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8
1,2.34,2.38,2.44,2.53,2.64,2.7,2.89
1.5,2.34,2.38,2.44,2.53,2.64,2.7,2.89
2,2.44,2.5,2.58,2.7,2.84,2.92,3.18
2.5,2.55,2.62,2.72,2.87,3.05,3.15,3.47
3,2.65,2.74,2.86,3.04,3.25,3.37,3.76
3.5,2.76,2.86,3,3.21,3.46,3.6,4.05
4,2.86,2.98,3.14,3.38,3.66,3.82,4.34
4.5,2.97,3.1,3.28,3.55,3.87,4.05,4.63
5,3.07,3.22,3.42,3.72,4.07,4.27,4.92
6,3.28,3.46,3.7,4.06,4.48,4.72,5.5
7,3.49,3.7,3.98,4.4,4.89,5.17,6.08
8,3.7,3.94,4.26,4.74,5.3,5.62,6.66
9,3.91,4.18,4.54,5.08,5.71,6.07,7.24
10,4.12,4.42,4.82,5.42,6.12,6.52,7.82
11,4.33,4.66,5.1,5.76,6.53,6.97,8.4
12,4.54,4.9,5.38,6.1,6.94,7.42,8.98
13,4.75,5.14,5.66,6.44,7.35,7.87,9.56
14,4.96,5.38,5.94,6.78,7.76,8.32,10.14
15,5.17,5.62,6.22,7.12,8.17,8.77,10.72
,,,,,,,
,,,,,,,
Pre-barcoded Discount,,,0.03,,,,
