FedEx Express U.S. Package Standard List Rates: FedEx Express Saver®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
FedEx® Envelope up to 8 oz.	$10.50 	$10.55 	$10.60 	$10.65 	$12.50 	$13.05 	$14.60 	-	-	-
1	$10.50 	$10.55 	$10.60 	$10.65 	$12.50 	$13.05 	$14.60 	-	-	-
2	$10.55 	$10.70 	$10.80 	$10.85 	$13.40 	$14.50 	$16.95 	-	-	-
3	$10.60 	$10.80 	$11.75 	$12.00 	$15.50 	$16.25 	$19.20 	-	-	-
4	$11.00 	$11.15 	$12.30 	$13.55 	$17.20 	$18.55 	$21.90 	-	-	-
5	$11.15 	$11.65 	$13.00 	$14.80 	$19.50 	$20.45 	$24.60 	-	-	-
6	$11.80 	$12.90 	$14.80 	$16.60 	$21.70 	$22.75 	$27.85 	-	-	-
7	$11.85 	$13.95 	$15.95 	$17.80 	$24.10 	$25.70 	$30.60 	-	-	-
8	$12.40 	$15.20 	$17.25 	$19.15 	$26.50 	$28.15 	$33.40 	-	-	-
9	$12.95 	$16.05 	$18.35 	$20.65 	$28.40 	$30.85 	$36.00 	-	-	-
10	$13.80 	$17.10 	$19.35 	$22.20 	$30.15 	$33.20 	$38.80 	-	-	-
11	$14.40 	$18.00 	$20.75 	$23.40 	$32.20 	$35.55 	$41.55 	-	-	-
12	$15.20 	$18.90 	$21.70 	$24.80 	$34.20 	$37.85 	$43.90 	-	-	-
13	$16.05 	$19.80 	$22.80 	$26.25 	$36.30 	$39.85 	$46.55 	-	-	-
14	$16.80 	$20.85 	$24.10 	$27.85 	$38.15 	$41.95 	$49.00 	-	-	-
15	$17.40 	$21.55 	$25.15 	$29.05 	$40.20 	$43.75 	$51.75 	-	-	-
16	$18.00 	$22.35 	$26.00 	$29.95 	$41.90 	$46.00 	$54.00 	-	-	-
