HTTP/1.1 200 OK
Content-Length: 3743
Content-Type: application/octet-stream
Last-Modified: Fri, 31 Dec 2010 22:28:47 GMT
Accept-Ranges: bytes
ETag: "8039b173aa9cb1:35f9"
Server: Microsoft-IIS/6.0
Date: Sat, 28 May 2011 06:45:40 GMT
Connection: keep-alive

Express Mail - Commercial Base ,,,,,,,

Weight Not Over (Pounds),L 1 & 2,3,4,5,6,7,8
0.5,12.96,15.09,18.37,19.66,19.96,20.75,21.05
1,14.89,19.66,23.43,24.02,24.53,24.87,24.97
2,16.19,20.75,25.76,26.35,26.86,27.06,27.45
3,17.18,22.04,29.64,30.33,30.92,31.12,31.42
4,18.47,23.43,33.50,34.75,34.89,35.05,35.34
5,19.17,25.07,37.33,38.72,38.82,39.02,39.31
6,22.44,30.13,40.81,42.59,42.69,42.89,43.39
7,25.76,35.14,44.62,45.92,46.61,46.91,47.20
8,27.06,36.24,48.05,49.89,50.68,50.88,51.28
9,28.54,37.72,51.42,53.86,54.60,54.80,55.20
10,29.44,39.31,53.81,56.49,57.38,57.58,57.98
11,32.11,43.98,57.49,59.27,60.16,60.36,60.76
12,32.71,47.11,60.56,61.95,62.94,63.04,63.44
13,33.11,50.09,63.34,64.68,65.57,66.37,67.16
14,34.20,53.16,65.87,67.36,68.35,69.24,69.94
15,36.24,56.19,68.65,70.14,71.13,71.82,72.72
16,37.23,59.37,71.33,72.92,74.16,74.26,74.46
17,39.31,62.45,74.01,75.55,76.64,76.84,77.24
18,41.40,65.38,76.64,78.33,79.42,79.62,80.02
19,42.49,68.45,79.33,81.01,82.11,82.30,82.70
20,44.48,71.62,83.19,84.44,85.32,85.83,86.42
21,45.72,76.04,85.83,87.02,89.10,89.40,89.60
22,47.80,79.22,89.60,90.99,91.88,92.18,93.07
23,48.79,82.30,92.27,93.77,94.71,94.91,95.81
24,50.88,85.43,95.21,96.50,97.59,97.69,97.89
25,53.07,88.61,97.49,99.28,100.27,100.47,100.97
26,54.06,91.78,100.37,102.05,103.05,103.35,103.79
27,56.10,94.81,102.95,104.69,105.77,106.08,106.57
28,57.18,97.99,106.28,107.47,108.55,108.86,109.35
29,59.27,101.06,109.75,110.25,111.33,111.64,112.03
30,61.35,104.19,113.23,113.52,114.56,114.87,115.66
31,62.34,107.27,116.65,116.95,118.14,118.44,119.23
32,64.38,110.54,120.12,120.52,121.62,121.91,122.81
33,65.47,113.62,123.55,123.95,125.14,125.43,126.33
34,67.56,116.65,127.12,127.42,128.61,128.91,129.90
35,68.65,119.83,130.50,130.99,132.09,132.49,133.43
36,70.63,123.01,134.02,134.42,135.71,136.01,137.00
37,72.72,126.03,137.50,137.90,139.29,139.58,140.57
38,73.81,129.20,140.97,141.47,142.76,143.06,144.10
39,75.85,132.38,144.49,144.89,146.08,146.48,147.67
40,76.84,135.41,147.97,148.37,149.65,150.05,151.24
41,78.93,138.59,151.44,151.94,153.28,153.48,154.77
42,81.01,141.76,154.87,155.37,156.85,157.05,158.35
43,82.11,144.80,158.35,158.94,160.33,160.63,161.92
44,84.13,147.97,161.82,162.41,163.86,164.15,165.44
45,85.23,151.15,165.25,165.84,167.33,167.63,169.02
46,87.31,154.18,168.82,169.31,170.81,171.10,172.59
47,88.30,157.36,172.29,172.88,174.33,174.63,176.11
48,90.39,160.53,175.72,176.31,177.90,178.20,179.69
49,92.47,163.55,179.20,179.79,181.47,181.67,183.21
50,93.57,166.73,182.77,183.31,184.90,185.19,186.78
51,95.61,169.91,186.19,186.78,188.37,188.67,190.36
52,96.69,172.94,189.67,190.36,191.95,192.25,193.98
53,98.78,176.11,193.10,193.69,195.48,195.68,197.46
54,100.86,179.29,196.56,197.26,199.05,199.25,201.04
55,101.86,183.41,200.14,200.73,202.52,202.77,204.56
56,103.89,186.58,203.57,204.26,206.04,206.24,208.13
57,104.98,189.76,207.04,207.74,209.52,209.82,211.71
58,106.97,192.79,210.52,211.20,213.04,213.24,215.23
59,108.16,195.87,213.94,214.74,216.62,216.82,218.80
60,110.14,199.05,217.41,218.21,220.10,220.39,222.32
61,112.23,202.23,220.99,221.78,223.62,223.91,225.90
62,113.32,205.25,224.41,225.10,227.09,227.39,229.47
63,115.36,208.43,227.88,228.68,230.66,230.86,233.10
64,116.35,211.51,231.36,232.16,234.19,234.39,236.67
65,118.44,214.63,234.79,235.58,237.66,237.97,240.15
66,120.62,217.81,238.36,239.16,241.24,241.54,243.67
67,121.62,220.89,241.83,242.58,244.67,244.96,247.25
68,123.64,224.02,245.26,246.15,248.24,248.53,250.91
69,124.64,227.19,248.73,249.63,251.71,251.96,254.34
70,126.82,230.37,252.26,253.06,255.24,255.44,257.92
Flat Rate Env,17.40,17.40,17.40,17.40,17.40,17.40,17.40
Legal FRE,17.40,17.40,17.40,17.40,17.40,17.40,17.40
