HTTP/1.1 200 OK
Content-Length: 3695
Content-Type: application/octet-stream
Last-Modified: Fri, 31 Dec 2010 22:28:47 GMT
Accept-Ranges: bytes
ETag: "8039b173aa9cb1:3617"
Server: Microsoft-IIS/6.0
Date: Sat, 28 May 2011 06:45:51 GMT
Connection: keep-alive

Express Mail - Commercial Plus,,,,,,,

Weight Not Over (Pounds),L 1 & 2,3,4,5,6,7,8
0.5,11.08,12.91,15.71,16.81,17.07,17.74,18.00
1,12.74,16.81,20.03,20.54,20.97,21.26,21.34
2,13.84,17.74,22.03,22.54,22.96,23.13,23.47
3,14.68,18.84,25.33,25.93,26.44,26.61,26.86
4,15.78,20.03,28.65,29.71,29.83,29.96,30.22
5,16.38,21.43,31.92,33.11,33.19,33.36,33.61
6,19.18,25.76,34.89,36.41,36.50,36.67,37.09
7,22.03,30.05,38.15,39.25,39.85,40.11,40.37
8,23.13,30.98,41.08,42.65,43.33,43.50,43.84
9,24.40,32.25,43.97,46.04,46.69,46.86,47.20
10,25.17,33.61,46.00,48.30,49.06,49.23,49.57
11,27.46,37.61,49.14,50.67,51.43,51.60,51.95
12,27.97,40.28,51.78,52.96,53.82,53.90,54.23
13,28.30,42.82,54.15,55.30,56.06,56.75,57.42
14,29.24,45.46,56.32,57.59,58.44,59.21,59.79
15,30.98,48.04,58.69,59.97,60.82,61.41,62.18
16,31.83,50.76,60.98,62.34,63.41,63.49,63.67
17,33.61,53.39,63.28,64.60,65.53,65.70,66.04
18,35.39,55.89,65.53,66.97,67.90,68.07,68.41
19,36.32,58.52,67.81,69.26,70.20,70.37,70.70
20,38.02,61.24,71.13,72.19,72.96,73.37,73.89
21,39.08,65.02,73.37,74.40,76.18,76.43,76.60
22,40.87,67.74,76.60,77.79,78.56,78.81,79.58
23,41.72,70.37,78.89,80.16,80.98,81.15,81.91
24,43.50,73.04,81.40,82.51,83.44,83.52,83.69
25,45.37,75.76,83.35,84.88,85.73,85.90,86.32
26,46.21,78.47,85.81,87.25,88.11,88.36,88.74
27,47.96,81.06,88.02,89.51,90.44,90.70,91.11
28,48.89,83.78,90.87,91.88,92.81,93.07,93.50
29,50.67,86.41,93.83,94.26,95.19,95.44,95.79
30,52.46,89.08,96.80,97.06,97.95,98.20,98.89
31,53.30,91.71,99.73,99.99,101.01,101.26,101.95
32,55.05,94.51,102.71,103.05,103.98,104.23,104.99
33,55.98,97.14,105.63,105.98,106.99,107.25,108.01
34,57.76,99.73,108.69,108.94,109.97,110.22,111.07
35,58.69,102.45,111.58,112.00,112.94,113.27,114.08
36,60.39,105.16,114.59,114.93,116.03,116.29,117.13
37,62.18,107.75,117.56,117.90,119.09,119.34,120.19
38,63.11,110.47,120.53,120.96,122.06,122.32,123.20
39,64.85,113.18,123.55,123.89,124.90,125.25,126.26
40,65.70,115.77,126.52,126.85,127.96,128.29,129.32
41,67.48,118.49,129.48,129.91,131.05,131.22,132.32
42,69.26,121.20,132.41,132.84,134.11,134.28,135.38
43,70.20,123.80,135.38,135.90,137.08,137.34,138.44
44,71.93,126.52,138.36,138.87,140.10,140.35,141.46
45,72.87,129.23,141.28,141.79,143.07,143.32,144.50
46,74.65,131.82,144.34,144.76,146.03,146.29,147.56
47,75.50,134.54,147.31,147.82,149.05,149.30,150.58
48,77.29,137.25,150.24,150.75,152.11,152.36,153.64
49,79.06,139.84,153.21,153.72,155.16,155.34,156.65
50,80.00,142.56,156.27,156.74,158.09,158.34,159.70
51,81.74,145.27,159.20,159.70,161.06,161.31,162.76
52,82.68,147.86,162.17,162.76,164.11,164.37,165.86
53,84.45,150.58,165.09,165.60,167.13,167.30,168.83
54,86.24,153.29,168.06,168.66,170.19,170.36,171.88
55,87.08,156.81,171.12,171.63,173.16,173.36,174.89
56,88.83,159.53,174.05,174.64,176.17,176.34,177.95
57,89.76,162.25,177.02,177.61,179.14,179.39,181.01
58,91.46,164.84,179.99,180.58,182.15,182.32,184.02
59,92.47,167.47,182.91,183.60,185.21,185.38,187.07
60,94.17,170.19,185.89,186.57,188.18,188.43,190.09
61,95.96,172.90,188.94,189.63,191.19,191.45,193.15
62,96.89,175.49,191.87,192.46,194.16,194.42,196.20
63,98.63,178.21,194.85,195.52,197.22,197.39,199.29
64,99.48,180.84,197.82,198.49,200.23,200.41,202.35
65,101.26,183.51,200.74,201.42,203.21,203.45,205.32
66,103.13,186.23,203.80,204.48,206.26,206.51,208.34
67,103.98,188.86,206.77,207.41,209.18,209.44,211.40
68,105.72,191.53,209.70,210.46,212.24,212.50,214.53
69,106.57,194.25,212.67,213.43,215.22,215.43,217.46
70,108.44,196.96,215.68,216.36,218.23,218.40,220.52
Flat Rate Env,12.72,12.72,12.72,12.72,12.72,12.72,12.72
Legal FRE,12.72,12.72,12.72,12.72,12.72,12.72,12.72
