HTTP/1.1 200 OK
Content-Length: 3759
Content-Type: application/octet-stream
Last-Modified: Fri, 31 Dec 2010 22:28:48 GMT
Accept-Ranges: bytes
ETag: "0d0a3173aa9cb1:754"
Server: Microsoft-IIS/6.0
Date: Sat, 28 May 2011 06:45:29 GMT
Connection: keep-alive

Express Mail - Retail ,,,,,,,

Weight Not Over (Pounds),L 1 & 2,3,4,5,6,7,8
0.5,13.25,16.15,19.75,21.35,24.25,25.15,26.65
1,15.25,21.05,25.20,26.10,29.75,30.15,31.60
2,16.55,22.20,27.70,28.60,32.55,32.80,34.70
3,17.60,23.55,31.85,32.95,37.50,37.75,39.75
4,18.90,25.10,36.05,37.70,42.30,42.45,44.70
5,19.60,26.80,40.10,42.05,47.05,47.30,49.70
6,22.95,32.25,43.85,46.20,51.70,51.95,54.85
7,26.35,37.60,47.95,49.85,56.50,56.85,59.65
8,27.65,38.75,51.65,54.15,61.40,61.65,64.80
9,29.15,40.35,55.25,58.45,66.15,66.40,69.80
10,30.10,42.05,57.80,61.30,69.55,69.75,73.30
11,32.85,47.00,61.80,64.30,72.90,73.10,76.80
12,33.45,50.35,65.05,67.25,76.25,76.40,80.20
13,33.90,53.55,68.05,70.15,79.45,80.40,84.85
14,35.00,56.85,70.75,73.10,82.75,83.85,88.40
15,37.05,60.05,73.75,76.10,86.15,87.00,91.90
16,38.05,63.45,76.65,79.15,89.85,89.95,94.10
17,40.20,66.75,79.55,81.95,92.85,93.05,97.65
18,42.30,69.90,82.35,85.00,96.15,96.45,101.10
19,43.45,73.20,85.20,87.90,99.45,99.65,104.50
20,45.45,76.55,89.40,91.60,103.35,103.95,109.20
21,46.75,81.30,92.20,94.35,107.90,108.30,113.25
22,48.85,84.70,96.25,98.70,111.30,111.65,117.60
23,49.90,87.95,99.10,101.75,114.70,114.95,121.05
24,52.00,91.30,102.30,104.65,118.20,118.30,123.70
25,54.25,94.70,104.75,107.65,121.40,121.70,127.60
26,55.25,98.10,107.80,110.70,124.80,125.15,131.20
27,57.30,101.30,110.60,113.55,128.10,128.50,134.65
28,58.40,104.70,114.15,116.55,131.45,131.80,138.20
29,60.55,108.00,117.90,119.55,134.80,135.20,141.55
30,62.70,111.35,121.60,123.10,138.70,139.10,146.10
31,63.70,114.65,125.30,126.85,143.10,143.45,150.70
32,65.80,118.15,129.00,130.75,147.30,147.65,155.20
33,66.90,121.45,132.75,134.45,151.55,151.90,159.60
34,69.05,124.65,136.55,138.20,155.75,156.10,164.10
35,70.15,128.05,140.15,142.05,159.95,160.45,168.55
36,72.20,131.45,143.95,145.75,164.35,164.70,173.10
37,74.30,134.70,147.65,149.60,168.65,169.00,177.60
38,75.40,138.10,151.40,153.45,172.85,173.20,182.05
39,77.50,141.50,155.15,157.15,176.90,177.35,186.55
40,78.50,144.70,158.95,160.90,181.20,181.70,191.10
41,80.65,148.10,162.65,164.75,185.60,185.85,195.55
42,82.75,151.50,166.35,168.50,189.95,190.20,200.05
43,83.90,154.75,170.05,172.40,194.15,194.50,204.55
44,85.95,158.15,173.80,176.15,198.40,198.75,209.00
45,87.10,161.55,177.45,179.85,202.60,202.95,213.55
46,89.20,164.75,181.35,183.60,206.80,207.20,218.05
47,90.25,168.15,185.05,187.50,211.10,211.45,222.50
48,92.30,171.55,188.70,191.20,215.40,215.75,227.00
49,94.45,174.80,192.45,194.95,219.75,219.95,231.50
50,95.55,178.20,196.25,198.80,223.85,224.20,236.00
51,97.65,181.60,199.95,202.55,228.05,228.45,240.50
52,98.75,184.80,203.65,206.45,232.45,232.80,245.05
53,100.90,188.20,207.40,210.05,236.70,236.90,249.50
54,103.05,191.60,211.10,213.90,241.00,241.25,254.00
55,104.05,196.00,214.95,217.65,245.20,245.50,258.45
56,106.15,199.40,218.60,221.55,249.45,249.70,262.95
57,107.25,202.80,222.35,225.30,253.65,254.05,267.45
58,109.25,206.00,226.05,229.05,257.95,258.20,271.95
59,110.50,209.30,229.75,232.85,262.30,262.50,276.45
60,112.50,212.70,233.50,236.60,266.50,266.80,280.90
61,114.65,216.10,237.35,240.55,270.75,271.10,285.40
62,115.75,219.35,241.00,244.15,274.95,275.35,289.95
63,117.85,222.70,244.70,248.00,279.30,279.55,294.50
64,118.85,226.00,248.45,251.75,283.55,283.80,299.00
65,121.00,229.35,252.10,255.45,287.75,288.10,303.40
66,123.20,232.75,256.00,259.35,292.05,292.40,307.80
67,124.25,236.05,259.70,263.05,296.20,296.60,312.40
68,126.30,239.40,263.40,266.95,300.60,300.90,317.00
69,127.30,242.75,267.10,270.70,304.75,305.05,321.30
70,129.50,246.15,270.90,274.40,309.05,309.25,325.80
Flat Rate Env,18.30,18.30,18.30,18.30,18.30,18.30,18.30
Legal FRE,18.30,18.30,18.30,18.30,18.30,18.30,18.30
