FedEx Express U.S. Package Standard List Rates: FedEx First Overnight®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
FedEx® Envelope up to 8 oz.	$42.85 	$46.25 	$49.50 	$51.35 	$51.55 	$54.25 	$54.70 	$56.70 	$62.30 	$49.55 
1	$46.30 	$53.60 	$61.50 	$65.55 	$69.00 	$72.05 	$73.35 	$74.75 	$74.85 	$61.55 
2	$46.75 	$55.90 	$66.15 	$69.85 	$74.75 	$76.85 	$78.95 	$79.35 	$79.65 	$64.80 
3	$49.50 	$58.05 	$70.55 	$74.70 	$80.15 	$82.00 	$84.00 	$85.65 	$95.00 	$69.20 
4	$51.40 	$59.65 	$74.40 	$79.40 	$85.20 	$87.05 	$89.50 	$91.25 	$100.80 	$73.95 
5	$51.70 	$61.10 	$79.00 	$84.50 	$90.30 	$92.20 	$94.60 	$96.70 	$106.15 	$78.20 
6	$54.55 	$63.10 	$83.45 	$89.15 	$95.70 	$96.95 	$100.05 	$101.80 	$111.90 	$83.70 
7	$55.95 	$65.05 	$87.50 	$93.90 	$100.70 	$102.50 	$105.15 	$106.90 	$117.60 	$85.45 
8	$56.20 	$67.00 	$91.50 	$98.35 	$105.80 	$107.90 	$110.30 	$111.90 	$121.90 	$91.65 
9	$56.60 	$68.55 	$95.30 	$103.05 	$110.85 	$113.35 	$115.75 	$117.45 	$127.85 	$95.05 
10	$56.65 	$68.60 	$98.55 	$107.15 	$110.90 	$113.40 	$118.15 	$122.85 	$127.90 	$98.90 
11	$59.95 	$72.80 	$102.40 	$111.60 	$120.95 	$124.00 	$126.35 	$128.35 	$138.10 	$102.35 
12	$61.35 	$74.75 	$106.60 	$115.60 	$125.65 	$129.40 	$131.80 	$133.40 	$140.60 	$108.60 
13	$61.90 	$76.65 	$110.45 	$119.75 	$129.70 	$134.90 	$136.95 	$138.80 	$143.75 	$113.95 
14	$63.40 	$78.60 	$114.85 	$123.75 	$133.80 	$139.70 	$142.40 	$143.90 	$146.95 	$115.00 
15	$63.85 	$80.05 	$117.90 	$127.75 	$133.85 	$143.45 	$146.90 	$147.55 	$149.90 	$115.05 
16	$65.40 	$82.40 	$122.35 	$131.55 	$141.50 	$146.50 	$149.95 	$152.40 	$155.20 	$121.75 
17	$67.05 	$84.35 	$125.15 	$134.90 	$144.20 	$149.25 	$152.70 	$155.25 	$158.75 	$126.05 
