FedEx International Ground Standard List Rates -- Canada		
"Effective 2/28/2011"		

	To Canada	To Canada
Wgt. (lbs.)	51	54
1	$13.10 	$20.65 
2	$14.30 	$21.70 
3	$14.85 	$22.85 
4	$15.85 	$23.95 
5	$16.90 	$24.80 
6	$17.80 	$25.95 
7	$18.65 	$26.65 
8	$19.50 	$27.65 
9	$20.35 	$28.25 
10	$21.25 	$29.20 
11	$22.00 	$30.25 
12	$22.75 	$31.30 
13	$23.50 	$32.35 
14	$24.30 	$33.40 
15	$25.20 	$34.50 
16	$26.05 	$35.60 
17	$26.95 	$36.80 
18	$27.95 	$37.95 
19	$28.85 	$39.25 
20	$29.55 	$40.40 
21	$30.40 	$41.55 
22	$31.35 	$42.80 
23	$32.25 	$44.05 
24	$33.10 	$45.15 
25	$33.85 	$46.40 
26	$34.80 	$47.60 
27	$35.65 	$48.80 
28	$36.50 	$50.05 
29	$37.35 	$51.25 
30	$38.20 	$52.50 
31	$39.05 	$53.60 
32	$39.90 	$54.85 
33	$40.75 	$56.10 
34	$41.50 	$57.25 
35	$42.45 	$58.20 
36	$43.20 	$59.40 
37	$44.20 	$60.65 
38	$45.00 	$61.70 
39	$45.85 	$62.70 
40	$46.75 	$63.80 
41	$47.55 	$64.90 
42	$48.30 	$65.85 
43	$49.20 	$67.00 
44	$49.95 	$68.00 
45	$50.75 	$69.15 
46	$51.55 	$70.15 
47	$52.35 	$71.25 
48	$53.15 	$72.35 
49	$54.05 	$73.35 
50	$54.95 	$74.40 
51	$56.60 	$76.05 
52	$56.60 	$76.05 
53	$58.15 	$77.55 
54	$58.15 	$77.55 
55	$59.60 	$79.10 
56	$59.60 	$79.10 
57	$60.80 	$80.65 
58	$60.80 	$80.65 
59	$62.15 	$82.15 
60	$62.15 	$82.15 
61	$63.30 	$83.90 
62	$63.30 	$83.90 
63	$64.45 	$85.40 
64	$64.45 	$85.40 
65	$65.30 	$86.85 
66	$65.30 	$86.85 
67	$66.35 	$88.50 
68	$66.35 	$88.50 
69	$67.30 	$90.10 
70	$67.30 	$90.10 
71	$68.30 	$91.65 
72	$68.30 	$91.65 
73	$69.40 	$93.55 
74	$69.40 	$93.55 
75	$70.40 	$95.50 
76	$70.40 	$95.50 
77	$70.95 	$96.85 
78	$70.95 	$96.85 
79	$71.85 	$99.05 
80	$71.85 	$99.05 
81	$72.40 	$101.20 
82	$72.40 	$101.20 
83	$73.20 	$103.25 
84	$73.20 	$103.25 
85	$73.70 	$105.60 
86	$73.70 	$105.60 
87	$74.55 	$107.65 
88	$74.55 	$107.65 
89	$75.30 	$109.75 
90	$75.30 	$109.75 
91	$75.85 	$112.00 
92	$75.85 	$112.00 
93	$76.65 	$114.00 
94	$76.65 	$114.00 
95	$77.35 	$116.15 
96	$77.35 	$116.15 
97	$78.05 	$118.35 
98	$78.05 	$118.35 
99	$78.65 	$120.40 
100	$78.65 	$120.40 
101	$82.70 	$126.15 
102	$82.70 	$126.15 
103	$82.70 	$126.15 
104	$82.70 	$126.15 
105	$82.70 	$126.15 
106	$85.60 	$131.75 
107	$85.60 	$131.75 
108	$85.60 	$131.75 
109	$85.60 	$131.75 
110	$85.60 	$131.75 
111	$88.45 	$137.30 
112	$88.45 	$137.30 
113	$88.45 	$137.30 
114	$88.45 	$137.30 
115	$88.45 	$137.30 
116	$90.95 	$143.00 
117	$90.95 	$143.00 
118	$90.95 	$143.00 
119	$90.95 	$143.00 
120	$90.95 	$143.00 
121	$93.35 	$148.55 
122	$93.35 	$148.55 
123	$93.35 	$148.55 
124	$93.35 	$148.55 
125	$93.35 	$148.55 
126	$95.55 	$154.10 
127	$95.55 	$154.10 
128	$95.55 	$154.10 
129	$95.55 	$154.10 
130	$95.55 	$154.10 
131	$97.75 	$160.25 
132	$97.75 	$160.25 
133	$97.75 	$160.25 
134	$97.75 	$160.25 
135	$97.75 	$160.25 
136	$100.00 	$166.45 
137	$100.00 	$166.45 
138	$100.00 	$166.45 
139	$100.00 	$166.45 
140	$100.00 	$166.45 
141	$102.20 	$172.50 
142	$102.20 	$172.50 
143	$102.20 	$172.50 
144	$102.20 	$172.50 
145	$102.20 	$172.50 
146	$104.40 	$178.55 
147	$104.40 	$178.55 
148	$104.40 	$178.55 
149	$104.40 	$178.55 
150	$104.40 	$178.55 


Go to fedex.com/us/rates-surcharges for additional fee and surcharge information. 										
