FedEx Ground Standard List Rates										
"Effective 2/28/2011"										

Weight	US Ground	US Ground	US Ground	US Ground	US Ground	US Ground	US Ground	To Hawaii	To Puerto Rico	Intra Oahu	To Alaska	To Canada	To Canada	From Hawaii	From Hawaii	Intra Alaska	Alaska to US	Alaska to US
	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9	Zone 10	Zone 14	Zone 17	Zone 51	Zone 54	Zone 92	Zone 96	Zone 22	Zone 23	Zone 25
1	$5.17 	$5.40 	$5.51 	$5.75 	$6.04 	$6.12 	$6.22 	$19.18 	-	$4.80 	$19.18 	$13.10 	$20.65 	$7.49 	$7.72 	$4.80 	$7.49 	$7.72 
2	$5.37 	$5.72 	$6.22 	$6.34 	$6.75 	$6.89 	$7.13 	$21.30 	-	$4.85 	$21.30 	$14.30 	$21.70 	$8.09 	$8.32 	$4.85 	$8.09 	$8.32 
3	$5.45 	$5.97 	$6.53 	$6.73 	$7.15 	$7.36 	$7.88 	$23.21 	-	$4.88 	$23.21 	$14.85 	$22.85 	$9.51 	$9.77 	$4.88 	$9.51 	$9.77 
4	$5.58 	$6.16 	$6.86 	$7.17 	$7.53 	$7.85 	$8.44 	$25.37 	-	$4.94 	$25.37 	$15.85 	$23.95 	$10.70 	$11.29 	$4.94 	$10.70 	$11.29 
5	$5.79 	$6.25 	$7.15 	$7.46 	$7.83 	$8.20 	$8.91 	$27.63 	-	$4.97 	$27.63 	$16.90 	$24.80 	$12.17 	$12.83 	$4.99 	$12.17 	$12.83 
6	$5.96 	$6.44 	$7.27 	$7.65 	$7.97 	$8.44 	$9.10 	$30.01 	-	$4.98 	$30.01 	$17.80 	$25.95 	$13.71 	$14.42 	$5.14 	$13.71 	$14.42 
7	$6.26 	$6.63 	$7.41 	$7.85 	$8.20 	$8.66 	$9.40 	$32.06 	-	$5.04 	$32.06 	$18.65 	$26.65 	$15.18 	$15.98 	$5.33 	$15.18 	$15.98 
8	$6.51 	$6.82 	$7.61 	$8.00 	$8.46 	$9.04 	$9.96 	$33.97 	-	$5.13 	$33.97 	$19.50 	$27.65 	$16.70 	$17.61 	$5.52 	$16.70 	$17.61 
9	$6.65 	$7.01 	$7.73 	$8.17 	$8.63 	$9.51 	$10.58 	$36.36 	-	$5.21 	$36.36 	$20.35 	$28.25 	$18.17 	$19.22 	$5.70 	$18.17 	$19.22 
10	$6.86 	$7.05 	$7.87 	$8.40 	$9.00 	$10.17 	$11.28 	$38.61 	-	$5.28 	$38.61 	$21.25 	$29.20 	$19.67 	$20.84 	$5.91 	$19.67 	$20.84 
11	$7.10 	$7.34 	$7.99 	$8.56 	$9.32 	$10.81 	$11.99 	$40.81 	-	$5.35 	$40.81 	$22.00 	$30.25 	$21.16 	$22.42 	$6.10 	$21.16 	$22.42 
12	$7.30 	$7.55 	$8.13 	$8.69 	$9.73 	$11.46 	$12.79 	$42.57 	-	$5.43 	$42.57 	$22.75 	$31.30 	$22.58 	$23.97 	$6.34 	$22.58 	$23.97 
13	$7.50 	$7.75 	$8.23 	$8.90 	$10.17 	$12.16 	$13.62 	$44.32 	-	$5.50 	$44.32 	$23.50 	$32.35 	$23.91 	$25.43 	$6.54 	$23.91 	$25.43 
14	$7.65 	$7.97 	$8.38 	$9.10 	$10.74 	$12.78 	$14.40 	$46.17 	-	$5.56 	$46.17 	$24.30 	$33.40 	$25.16 	$26.92 	$6.76 	$25.16 	$26.92 
15	$7.80 	$8.22 	$8.52 	$9.31 	$11.31 	$13.44 	$15.18 	$47.87 	-	$5.60 	$47.87 	$25.20 	$34.50 	$26.42 	$28.38 	$6.97 	$26.42 	$28.38 
16	$7.92 	$8.34 	$8.65 	$9.50 	$11.75 	$13.95 	$15.84 	$50.19 	-	$5.66 	$50.19 	$26.05 	$35.60 	$27.59 	$29.73 	$7.14 	$27.59 	$29.73 
17	$8.00 	$8.60 	$8.93 	$9.89 	$12.38 	$14.70 	$16.68 	$51.95 	-	$5.72 	$51.95 	$26.95 	$36.80 	$28.91 	$31.28 	$7.36 	$28.91 	$31.28 
18	$8.11 	$8.81 	$9.21 	$10.41 	$12.99 	$15.35 	$17.52 	$54.31 	-	$5.78 	$54.31 	$27.95 	$37.95 	$30.25 	$32.82 	$7.56 	$30.25 	$32.82 
19	$8.24 	$9.12 	$9.56 	$10.88 	$13.56 	$16.02 	$18.37 	$56.51 	-	$5.85 	$56.51 	$28.85 	$39.25 	$31.57 	$34.36 	$7.80 	$31.57 	$34.36 
20	$8.39 	$9.42 	$9.89 	$11.37 	$14.15 	$16.70 	$19.21 	$58.61 	-	$5.91 	$58.61 	$29.55 	$40.40 	$32.84 	$35.92 	$8.01 	$32.84 	$35.92 
21	$8.55 	$9.71 	$10.21 	$11.86 	$14.73 	$17.37 	$20.02 	$60.18 	-	$5.98 	$60.18 	$30.40 	$41.55 	$34.00 	$37.46 	$8.23 	$34.00 	$37.46 
22	$8.75 	$10.00 	$10.58 	$12.30 	$15.33 	$18.06 	$20.89 	$62.05 	-	$6.02 	$62.05 	$31.35 	$42.80 	$35.09 	$38.92 	$8.42 	$35.09 	$38.92 
23	$8.94 	$10.31 	$10.92 	$12.75 	$15.91 	$18.72 	$21.74 	$63.93 	-	$6.07 	$63.93 	$32.25 	$44.05 	$36.19 	$40.41 	$8.66 	$36.19 	$40.41 
