FedEx Express U.S. Package Standard List Rates: FedEx International Economy®										
"Effective 2/28/2011"										

Weight	Zone A 	Zone B 	Zone C 	Zone D 	Zone E 	Zone F 	Zone G 	Zone H 	Zone I 	Zone J 	Zone K 	Zone L 	Zone M 	Zone N 	Zone O 
FedEx® Envelope up to 8 oz.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pak      1 lb. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pak     2 lbs.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1 lbs.	$54.46 	$56.90 	$57.70 	$63.99 	$63.99 	$60.66 	$62.06 	$74.94 	$62.31 	$69.83 	$81.53 	$82.58 	$79.76 	$74.11 	$74.26 
2 lbs.	$58.83 	$63.90 	$64.55 	$77.63 	$77.63 	$73.27 	$74.96 	$86.47 	$76.76 	$84.86 	$104.44 	$105.79 	$101.75 	$84.33 	$86.41 
3	$64.36 	$70.54 	$74.71 	$90.06 	$90.06 	$85.25 	$86.49 	$99.07 	$85.30 	$96.58 	$127.08 	$128.72 	$124.03 	$95.84 	$98.19 
4	$69.02 	$76.93 	$75.73 	$101.90 	$101.90 	$96.96 	$98.36 	$111.71 	$95.57 	$107.37 	$148.95 	$150.87 	$146.31 	$106.38 	$109.00 
5	$73.11 	$82.55 	$88.58 	$113.42 	$113.42 	$107.02 	$109.50 	$125.94 	$101.15 	$118.66 	$170.54 	$172.74 	$167.73 	$117.56 	$120.46 
6	$75.72 	$84.63 	$96.57 	$124.04 	$124.04 	$116.58 	$119.28 	$135.13 	$113.03 	$129.30 	$192.43 	$194.91 	$189.13 	$128.10 	$132.53 
7	$78.69 	$87.89 	$104.29 	$131.92 	$131.92 	$125.96 	$126.62 	$144.80 	$120.98 	$142.25 	$213.40 	$216.15 	$209.96 	$143.55 	$146.56 
8	$81.52 	$90.84 	$114.74 	$138.29 	$138.29 	$130.32 	$127.68 	$157.65 	$123.91 	$153.47 	$230.80 	$234.38 	$212.94 	$149.86 	$157.44 
9	$84.02 	$95.88 	$115.79 	$141.78 	$145.27 	$133.32 	$138.87 	$166.42 	$131.36 	$163.92 	$232.54 	$251.67 	$244.55 	$153.56 	$169.24 
10	$86.52 	$99.12 	$116.22 	$142.57 	$145.97 	$134.92 	$140.00 	$174.79 	$137.78 	$167.66 	$265.86 	$253.40 	$261.56 	$171.22 	$179.33 
11	$89.80 	$104.76 	$124.71 	$158.31 	$158.31 	$148.87 	$150.57 	$183.42 	$143.63 	$175.83 	$282.65 	$286.28 	$277.99 	$180.90 	$187.81 
12	$93.08 	$107.72 	$130.13 	$162.42 	$162.42 	$150.27 	$151.63 	$191.00 	$149.21 	$185.75 	$298.83 	$302.68 	$293.82 	$184.14 	$198.41 
13	$96.38 	$113.33 	$133.45 	$171.65 	$171.65 	$158.74 	$165.33 	$199.26 	$154.20 	$209.81 	$315.62 	$319.68 	$310.24 	$202.40 	$208.98 
