FedEx Express U.S. Package Standard List Rates: FedEx International Priority®										
"Effective 2/28/2011"										

Weight	Zone A 	Zone B 	Zone C 	Zone D 	Zone E 	Zone F 	Zone G 	Zone H 	Zone I 	Zone J 	Zone K 	Zone L 	Zone M 	Zone N 	Zone O 
FedEx® Envelope up to 8 oz.	$33.25 	$34.50 	$35.75 	$46.25 	$46.25 	$44.25 	$44.25 	$52.75 	$45.50 	$53.00 	$68.25 	$67.50 	$101.50 	$52.25 	$54.00 
Pak      1 lb.	$53.75 	$55.00 	$55.75 	$63.25 	$63.25 	$58.75 	$58.75 	$74.75 	$58.75 	$70.00 	$83.50 	$80.50 	$119.50 	$69.25 	$73.25 
Pak     2 lbs.	$57.00 	$59.50 	$57.50 	$66.00 	$66.00 	$62.75 	$62.75 	$75.00 	$65.50 	$75.00 	$98.25 	$107.00 	$143.25 	$74.75 	$84.00 
1	$57.01 	$62.14 	$59.21 	$70.26 	$70.26 	$66.49 	$68.72 	$84.25 	$68.87 	$73.01 	$88.49 	$91.86 	$125.78 	$77.30 	$77.89 
2	$63.96 	$68.17 	$67.00 	$82.08 	$82.08 	$76.86 	$80.27 	$100.43 	$79.47 	$88.32 	$110.85 	$115.07 	$144.63 	$89.31 	$89.19 
3	$73.00 	$75.72 	$79.05 	$96.38 	$96.38 	$93.82 	$94.26 	$113.17 	$93.92 	$102.44 	$132.89 	$137.96 	$178.07 	$101.57 	$101.10 
4	$79.35 	$84.77 	$86.26 	$110.06 	$110.06 	$107.13 	$107.63 	$125.66 	$106.02 	$114.67 	$155.53 	$161.46 	$201.39 	$110.05 	$113.56 
5	$82.66 	$90.51 	$95.87 	$122.49 	$122.49 	$119.24 	$119.80 	$135.25 	$119.59 	$126.24 	$177.00 	$183.74 	$224.73 	$121.15 	$128.67 
6	$85.07 	$94.43 	$104.89 	$129.65 	$129.65 	$126.02 	$126.65 	$144.88 	$129.86 	$138.15 	$199.06 	$206.65 	$240.59 	$132.59 	$140.81 
7	$87.79 	$99.25 	$113.91 	$137.11 	$137.11 	$133.69 	$134.09 	$153.59 	$139.05 	$150.37 	$221.11 	$229.54 	$261.07 	$145.00 	$153.26 
8	$92.01 	$105.59 	$123.53 	$143.94 	$143.94 	$142.56 	$143.22 	$163.84 	$147.25 	$161.95 	$241.68 	$250.89 	$280.40 	$156.15 	$165.75 
9	$95.34 	$109.81 	$129.24 	$152.97 	$152.97 	$148.69 	$149.38 	$175.98 	$148.07 	$174.17 	$261.39 	$271.36 	$296.90 	$167.93 	$177.53 
10	$98.96 	$114.94 	$135.25 	$161.39 	$161.98 	$153.40 	$152.56 	$184.37 	$148.34 	$186.07 	$281.38 	$292.11 	$298.55 	$179.42 	$189.50 
11	$102.41 	$117.13 	$142.77 	$163.92 	$168.51 	$162.12 	$153.17 	$194.63 	$153.68 	$192.53 	$300.56 	$310.88 	$309.53 	$188.66 	$201.74 
