HTTP/1.1 200 OK
Server: Netscape-Enterprise/6.0
Cteonnt-length: 1558
Content-Type: text/csv
ETag: "126fad22-e1-0-616"
Last-Modified: Wed, 30 Mar 2011 20:29:06 GMT
Date: Sat, 28 May 2011 06:48:36 GMT
Content-Length: 1558
Connection: keep-alive

Library Mail - Commercial,,,
,,,
Weight Not Over (Pounds),Single-Piece,5-Digit,Basic
1,2.29,1.58,1.92
2,2.68,1.97,2.31
3,3.07,2.36,2.7
4,3.46,2.75,3.09
5,3.85,3.14,3.48
6,4.24,3.53,3.87
7,4.63,3.92,4.26
8,5,4.29,4.63
9,5.37,4.66,5
10,5.74,5.03,5.37
11,6.11,5.4,5.74
12,6.48,5.77,6.11
13,6.85,6.14,6.48
14,7.22,6.51,6.85
15,7.59,6.88,7.22
16,7.96,7.25,7.59
17,8.33,7.62,7.96
18,8.7,7.99,8.33
19,9.07,8.36,8.7
20,9.44,8.73,9.07
21,9.81,9.1,9.44
22,10.18,9.47,9.81
23,10.55,9.84,10.18
24,10.92,10.21,10.55
25,11.29,10.58,10.92
26,11.66,10.95,11.29
27,12.03,11.32,11.66
28,12.4,11.69,12.03
29,12.77,12.06,12.4
30,13.14,12.43,12.77
31,13.51,12.8,13.14
32,13.88,13.17,13.51
33,14.25,13.54,13.88
34,14.62,13.91,14.25
35,14.99,14.28,14.62
36,15.36,14.65,14.99
37,15.73,15.02,15.36
38,16.1,15.39,15.73
39,16.47,15.76,16.1
40,16.84,16.13,16.47
41,17.21,16.5,16.84
42,17.58,16.87,17.21
43,17.95,17.24,17.58
44,18.32,17.61,17.95
45,18.69,17.98,18.32
46,19.06,18.35,18.69
47,19.43,18.72,19.06
48,19.8,19.09,19.43
49,20.17,19.46,19.8
50,20.54,19.83,20.17
51,20.91,20.2,20.54
52,21.28,20.57,20.91
53,21.65,20.94,21.28
54,22.02,21.31,21.65
55,22.39,21.68,22.02
56,22.76,22.05,22.39
57,23.13,22.42,22.76
58,23.5,22.79,23.13
59,23.87,23.16,23.5
60,24.24,23.53,23.87
61,24.61,23.9,24.24
62,24.98,24.27,24.61
63,25.35,24.64,24.98
64,25.72,25.01,25.35
65,26.09,25.38,25.72
66,26.46,25.75,26.09
67,26.83,26.12,26.46
68,27.2,26.49,26.83
69,27.57,26.86,27.2
70,27.94,27.23,27.57
,,,
Barcode Discount,,0.03,
