HTTP/1.1 200 OK
Server: Netscape-Enterprise/6.0
Cteonnt-length: 727
Content-Type: text/csv
ETag: "97c2b6c4-1ed-0-2d7"
Last-Modified: Wed, 30 Mar 2011 20:29:06 GMT
Date: Sat, 28 May 2011 06:48:26 GMT
Content-Length: 727
Connection: keep-alive

Library Mail - Retail,
,
Weight Not Over (Pounds),Single-Piece
1,2.29
2,2.68
3,3.07
4,3.46
5,3.85
6,4.24
7,4.63
8,5
9,5.37
10,5.74
11,6.11
12,6.48
13,6.85
14,7.22
15,7.59
16,7.96
17,8.33
18,8.7
19,9.07
20,9.44
21,9.81
22,10.18
23,10.55
24,10.92
25,11.29
26,11.66
27,12.03
28,12.4
29,12.77
30,13.14
31,13.51
32,13.88
33,14.25
34,14.62
35,14.99
36,15.36
37,15.73
38,16.1
39,16.47
40,16.84
41,17.21
42,17.58
43,17.95
44,18.32
45,18.69
46,19.06
47,19.43
48,19.8
49,20.17
50,20.54
51,20.91
52,21.28
53,21.65
54,22.02
55,22.39
56,22.76
57,23.13
58,23.5
59,23.87
60,24.24
61,24.61
62,24.98
63,25.35
64,25.72
65,26.09
66,26.46
67,26.83
68,27.2
69,27.57
70,27.94
