HTTP/1.1 200 OK
Server: Netscape-Enterprise/6.0
Cteonnt-length: 1564
Content-Type: text/csv
ETag: "3273638d-c23-0-61c"
Last-Modified: Wed, 30 Mar 2011 20:29:07 GMT
Date: Sat, 28 May 2011 06:48:15 GMT
Content-Length: 1564
Connection: keep-alive

Media Mail - Commercial,,,
,,,
Weight Not Over (Pounds),Single-Piece,5-Digit,Basic
1,2.41,1.66,2.02
2,2.82,2.07,2.43
3,3.23,2.48,2.84
4,3.64,2.89,3.25
5,4.05,3.3,3.66
6,4.46,3.71,4.07
7,4.87,4.12,4.48
8,5.26,4.51,4.87
9,5.65,4.9,5.26
10,6.04,5.29,5.65
11,6.43,5.68,6.04
12,6.82,6.07,6.43
13,7.21,6.46,6.82
14,7.6,6.85,7.21
15,7.99,7.24,7.6
16,8.38,7.63,7.99
17,8.77,8.02,8.38
18,9.16,8.41,8.77
19,9.55,8.8,9.16
20,9.94,9.19,9.55
21,10.33,9.58,9.94
22,10.72,9.97,10.33
23,11.11,10.36,10.72
24,11.5,10.75,11.11
25,11.89,11.14,11.5
26,12.28,11.53,11.89
27,12.67,11.92,12.28
28,13.06,12.31,12.67
29,13.45,12.7,13.06
30,13.84,13.09,13.45
31,14.23,13.48,13.84
32,14.62,13.87,14.23
33,15.01,14.26,14.62
34,15.4,14.65,15.01
35,15.79,15.04,15.4
36,16.18,15.43,15.79
37,16.57,15.82,16.18
38,16.96,16.21,16.57
39,17.35,16.6,16.96
40,17.74,16.99,17.35
41,18.13,17.38,17.74
42,18.52,17.77,18.13
43,18.91,18.16,18.52
44,19.3,18.55,18.91
45,19.69,18.94,19.3
46,20.08,19.33,19.69
47,20.47,19.72,20.08
48,20.86,20.11,20.47
49,21.25,20.5,20.86
50,21.64,20.89,21.25
51,22.03,21.28,21.64
52,22.42,21.67,22.03
53,22.81,22.06,22.42
54,23.2,22.45,22.81
55,23.59,22.84,23.2
56,23.98,23.23,23.59
57,24.37,23.62,23.98
58,24.76,24.01,24.37
59,25.15,24.4,24.76
60,25.54,24.79,25.15
61,25.93,25.18,25.54
62,26.32,25.57,25.93
63,26.71,25.96,26.32
64,27.1,26.35,26.71
65,27.49,26.74,27.1
66,27.88,27.13,27.49
67,28.27,27.52,27.88
68,28.66,27.91,28.27
69,29.05,28.3,28.66
70,29.44,28.69,29.05
,,,
Barcode Discount,,0.03,
