HTTP/1.1 200 OK
Server: Netscape-Enterprise/6.0
Cteonnt-length: 729
Content-Type: text/csv
ETag: "c0ed594f-a4-0-2d9"
Last-Modified: Wed, 30 Mar 2011 20:29:07 GMT
Date: Sat, 28 May 2011 06:48:04 GMT
Content-Length: 729
Connection: keep-alive

Media Mail - Retail,
,
Weight Not Over (Pounds),Single-Piece
1,2.41
2,2.82
3,3.23
4,3.64
5,4.05
6,4.46
7,4.87
8,5.26
9,5.65
10,6.04
11,6.43
12,6.82
13,7.21
14,7.6
15,7.99
16,8.38
17,8.77
18,9.16
19,9.55
20,9.94
21,10.33
22,10.72
23,11.11
24,11.5
25,11.89
26,12.28
27,12.67
28,13.06
29,13.45
30,13.84
31,14.23
32,14.62
33,15.01
34,15.4
35,15.79
36,16.18
37,16.57
38,16.96
39,17.35
40,17.74
41,18.13
42,18.52
43,18.91
44,19.3
45,19.69
46,20.08
47,20.47
48,20.86
49,21.25
50,21.64
51,22.03
52,22.42
53,22.81
54,23.2
55,23.59
56,23.98
57,24.37
58,24.76
59,25.15
60,25.54
61,25.93
62,26.32
63,26.71
64,27.1
65,27.49
66,27.88
67,28.27
68,28.66
69,29.05
70,29.44
