FedEx Express U.S. Package Standard List Rates: FedEx Priority Overnight®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
FedEx® Envelope up to 8 oz.	$17.85 	$21.25 	$24.50 	$26.35 	$26.55 	$29.25 	$29.70 	$31.70 	$37.30 	$24.55 
1	$21.30 	$28.60 	$36.50 	$40.55 	$44.00 	$47.05 	$48.35 	$49.75 	$49.85 	$36.55 
2	$21.75 	$30.90 	$41.15 	$44.85 	$49.75 	$51.85 	$53.95 	$54.35 	$54.65 	$39.80 
3	$24.50 	$33.05 	$45.55 	$49.70 	$55.15 	$57.00 	$59.00 	$60.65 	$70.00 	$44.20 
4	$26.40 	$34.65 	$49.40 	$54.40 	$60.20 	$62.05 	$64.50 	$66.25 	$75.80 	$48.95 
5	$26.70 	$36.10 	$54.00 	$59.50 	$65.30 	$67.20 	$69.60 	$71.70 	$81.15 	$53.20 
6	$29.55 	$38.10 	$58.45 	$64.15 	$70.70 	$71.95 	$75.05 	$76.80 	$86.90 	$58.70 
7	$30.95 	$40.05 	$62.50 	$68.90 	$75.70 	$77.50 	$80.15 	$81.90 	$92.60 	$60.45 
8	$31.20 	$42.00 	$66.50 	$73.35 	$80.80 	$82.90 	$85.30 	$86.90 	$96.90 	$66.65 
9	$31.60 	$43.55 	$70.30 	$78.05 	$85.85 	$88.35 	$90.75 	$92.45 	$102.85 	$70.05 
10	$31.65 	$43.60 	$73.55 	$82.15 	$85.90 	$88.40 	$93.15 	$97.85 	$102.90 	$73.90 
11	$34.95 	$47.80 	$77.40 	$86.60 	$95.95 	$99.00 	$101.35 	$103.35 	$113.10 	$77.35 
12	$36.35 	$49.75 	$81.60 	$90.60 	$100.65 	$104.40 	$106.80 	$108.40 	$115.60 	$83.60 
13	$36.90 	$51.65 	$85.45 	$94.75 	$104.70 	$109.90 	$111.95 	$113.80 	$118.75 	$88.95 
14	$38.40 	$53.60 	$89.85 	$98.75 	$108.80 	$114.70 	$117.40 	$118.90 	$121.95 	$90.00 
15	$38.85 	$55.05 	$92.90 	$102.75 	$108.85 	$118.45 	$121.90 	$122.55 	$124.90 	$90.05 
16	$40.40 	$57.40 	$97.35 	$106.55 	$116.50 	$121.50 	$124.95 	$127.40 	$130.20 	$96.75 
17	$42.05 	$59.35 	$100.15 	$109.90 	$119.20 	$124.25 	$127.70 	$130.25 	$133.75 	$101.05 
18	$43.50 	$61.25 	$103.15 	$112.25 	$121.85 	$127.00 	$131.05 	$133.50 	$138.95 	$102.35 
19	$44.35 	$62.90 	$105.55 	$114.65 	$124.60 	$129.80 	$134.50 	$137.90 	$142.55 	$104.60 
