HTTP/1.1 200 OK
Content-Length: 4003
Content-Type: application/octet-stream
Last-Modified: Fri, 31 Dec 2010 22:28:49 GMT
Accept-Ranges: bytes
ETag: "80663c183aa9cb1:3617"
Server: Microsoft-IIS/6.0
Date: Sat, 28 May 2011 06:47:53 GMT
Connection: keep-alive

Parcel Return Service,,,,,,,,,,,,

,Machinable,,,,,,,,NONmachinable,,,
,,RNDC,RNDC,RNDC,RNDC,,,,RNDC,RNDC,RNDC,RNDC
Weight Not Over (Pounds),RDU,Zones    1 & 2,Zone 3,Zone 4,Zone 5,,Weight Not Over (Pounds),RDU,Zones    1 & 2,Zone 3,Zone 4,Zone 5
1,1.85,3.14,3.14,3.14,3.14,,1,1.85,5.48,5.48,5.48,5.48
2,1.88,3.59,3.59,3.59,3.59,,2,1.88,5.93,5.93,5.93,5.93
3,1.9,4.09,4.09,4.09,4.09,,3,1.9,6.43,6.43,6.43,6.43
4,1.95,4.65,4.65,4.65,4.65,,4,1.95,6.99,6.99,6.99,6.99
5,2.02,5.15,5.15,5.15,5.15,,5,2.02,7.49,7.49,7.49,7.49
6,2.08,5.61,5.61,5.61,5.61,,6,2.08,7.95,7.95,7.95,7.95
7,2.14,6.01,6.01,6.01,6.01,,7,2.14,8.35,8.35,8.35,8.35
8,2.2,6.66,6.66,6.66,6.66,,8,2.2,9,9,9,9
9,2.26,7.05,7.05,7.05,7.05,,9,2.26,9.39,9.39,9.39,9.39
10,2.3,7.42,7.42,7.42,7.42,,10,2.3,9.76,9.76,9.76,9.76
11,2.34,7.65,7.65,7.65,7.65,,11,2.34,9.99,9.99,9.99,9.99
12,2.43,7.97,7.97,7.97,7.97,,12,2.43,10.31,10.31,10.31,10.31
13,2.51,8.25,8.25,8.25,8.25,,13,2.51,10.59,10.59,10.59,10.59
14,2.59,8.45,8.45,8.45,8.45,,14,2.59,10.79,10.79,10.79,10.79
15,2.67,8.59,8.59,8.59,8.59,,15,2.67,10.93,10.93,10.93,10.93
16,2.74,8.83,8.83,8.83,8.83,,16,2.74,11.17,11.17,11.17,11.17
17,2.82,9.06,9.06,9.06,9.06,,17,2.82,11.4,11.4,11.4,11.4
18,2.88,9.24,9.24,9.24,9.24,,18,2.88,11.58,11.58,11.58,11.58
19,2.96,9.46,9.46,9.46,9.46,,19,2.96,11.8,11.8,11.8,11.8
20,3.02,9.63,9.63,9.63,9.63,,20,3.02,11.97,11.97,11.97,11.97
21,3.08,9.83,9.83,9.83,9.83,,21,3.08,12.17,12.17,12.17,12.17
22,3.13,10.15,10.15,10.15,10.15,,22,3.13,12.49,12.49,12.49,12.49
23,3.19,10.29,10.29,10.29,10.29,,23,3.19,12.63,12.63,12.63,12.63
24,3.24,10.37,10.37,10.37,10.37,,24,3.24,12.71,12.71,12.71,12.71
25,3.31,10.62,10.62,10.62,10.62,,25,3.31,12.96,12.96,12.96,12.96
26,3.36,10.73,10.73,10.73,10.73,,26,3.36,13.07,13.07,13.07,13.07
27,3.41,10.84,10.84,10.84,10.84,,27,3.41,13.18,13.18,13.18,13.18
28,3.45,10.89,10.89,10.89,10.89,,28,3.45,13.23,13.23,13.23,13.23
29,3.5,11.06,11.06,11.06,11.06,,29,3.5,13.4,13.4,13.4,13.4
30,3.54,11.29,11.29,11.29,11.29,,30,3.54,13.63,13.63,13.63,13.63
31,3.58,11.29,11.29,11.29,11.29,,31,3.58,13.63,13.63,13.63,13.63
32,3.64,11.48,11.48,11.48,11.48,,32,3.64,13.82,13.82,13.82,13.82
33,3.68,11.67,11.67,11.67,11.67,,33,3.68,14.01,14.01,14.01,14.01
34,3.71,11.68,11.68,11.68,11.68,,34,3.71,14.02,14.02,14.02,14.02
35,3.75,11.97,11.97,11.97,11.97,,35,3.75,14.31,14.31,14.31,14.31
,,,,,,,36,3.8,14.35,14.35,14.35,14.35
Balloon,NA,9.63,9.63,9.63,9.63,,37,3.83,14.54,14.54,14.54,14.54
Oversized,7.91,34.2,34.2,34.2,34.2,,38,3.87,14.56,14.56,14.56,14.56
,,,,,,,39,3.9,14.61,14.61,14.61,14.61
,,,,,,,40,3.93,14.74,14.74,14.74,14.74
,,,,,,,41,3.97,14.75,14.75,14.75,14.75
