HTTP/1.1 200 OK
Content-Length: 1674
Content-Type: application/octet-stream
Last-Modified: Fri, 31 Dec 2010 22:28:49 GMT
Accept-Ranges: bytes
ETag: "80663c183aa9cb1:3617"
Server: Microsoft-IIS/6.0
Date: Sat, 28 May 2011 06:47:08 GMT
Connection: keep-alive

Parcel Select - Barcoded Nonpresort,,,,,,,

,Zones ,,,,,,
Weight Not Over (Pounds),1 & 2,3,4,5,6,7,8
1,5.07,5.12,5.22,5.27,5.32,5.38,5.46
2,5.17,5.52,6.17,7.44,7.99,8.49,9.32
3,5.89,6.74,7.73,8.53,9.24,9.73,10.73
4,6.60,7.61,8.62,9.69,10.67,11.40,12.42
5,7.39,8.71,9.62,10.53,11.44,12.35,13.25
6,8.00,9.30,10.15,11.00,11.85,12.70,14.08
7,8.54,10.00,10.63,11.80,12.52,13.02,14.91
8,9.16,10.51,11.36,12.20,13.05,13.89,15.74
9,9.72,11.12,11.99,12.86,13.72,14.59,16.57
10,10.32,11.79,12.72,13.65,14.58,15.50,17.40
11,10.77,12.37,13.39,14.41,15.44,16.46,18.23
12,11.30,12.95,14.02,15.09,16.16,17.22,19.14
13,11.47,13.26,14.44,15.62,16.85,17.98,20.04
14,11.64,13.56,14.86,16.16,17.54,18.73,20.94
15,11.81,13.87,15.28,16.69,18.20,19.50,21.85
16,11.99,14.17,15.70,17.23,18.82,20.24,22.76
17,12.51,14.48,16.12,17.76,19.45,21.00,23.66
18,13.03,14.79,16.54,18.29,20.05,21.77,24.57
19,13.22,15.09,16.96,18.83,20.67,22.52,25.46
20,13.41,15.40,17.38,19.36,21.28,23.27,26.38
21,13.61,15.70,17.80,19.90,21.94,24.05,27.30
22,13.80,16.01,18.22,20.43,22.60,24.82,28.23
23,13.99,16.31,18.64,20.97,23.27,25.60,29.15
24,14.18,16.62,19.06,21.50,23.93,26.37,30.08
25,14.37,16.93,19.48,22.04,24.59,27.15,31.00
26,14.58,17.25,19.92,22.59,25.25,27.92,31.93
27,14.79,17.58,20.36,23.14,25.92,28.70,32.85
28,15.01,17.90,20.79,23.69,26.58,29.47,33.77
29,15.22,18.22,21.23,24.24,27.24,30.25,34.70
30,15.43,18.55,21.67,24.79,27.90,31.02,35.62
31,15.69,18.87,22.10,25.34,28.57,31.80,36.55
32,16.00,19.20,22.54,25.89,29.23,32.57,37.47
33,16.32,19.52,22.98,26.43,29.89,33.35,38.40
34,16.63,19.85,23.42,26.98,30.55,34.12,39.32
35,16.94,20.17,23.85,27.53,31.21,34.90,40.25
