HTTP/1.1 200 OK
Content-Length: 5027
Content-Type: application/octet-stream
Last-Modified: Fri, 31 Dec 2010 22:28:50 GMT
Accept-Ranges: bytes
ETag: "0fdd4183aa9cb1:3617"
Server: Microsoft-IIS/6.0
Date: Sat, 28 May 2011 06:47:19 GMT
Connection: keep-alive

Parcel Select - DDU,,,,,,,,,,,,,,,

,,,Machinable,,,,,,,,NONmachinable,,,,
,,,DNDC,DNDC,DNDC,DNDC,,,,DSCF,,DNDC,DNDC,DNDC,DNDC
Weight Not Over (Pounds),DDU,DSCF,(1 & 2),Zone 3,Zone 4,Zone 5,,Weight Not Over (Pounds),DDU,5-Digit,3-Digit,(1 & 2),Zone 3,Zone 4,Zone 5
1,1.85,2.31,3.29,4.22,5.07,5.93,,1,1.85,2.31,3.31,5.65,6.58,7.43,8.29
2,1.85,2.56,3.29,4.22,5.07,5.93,,2,1.85,2.56,3.56,5.65,6.58,7.43,8.29
3,1.88,2.81,3.67,5.03,6.23,6.94,,3,1.88,2.81,3.81,6.03,7.39,8.59,9.3
4,1.92,3.03,4.01,5.76,7.17,7.81,,4,1.92,3.03,4.03,6.37,8.12,9.53,10.17
5,1.97,3.22,4.31,6.43,7.83,8.62,,5,1.97,3.22,4.22,6.67,8.79,10.19,10.98
6,2.01,3.42,4.64,7.08,8.42,9.38,,6,2.01,3.42,4.42,7,9.44,10.78,11.74
7,2.05,3.62,4.94,7.71,8.99,10.13,,7,2.05,3.62,4.62,7.3,10.07,11.35,12.49
8,2.09,3.81,5.22,8.27,9.45,10.77,,8,2.09,3.81,4.81,7.58,10.63,11.81,13.13
9,2.13,3.98,5.48,8.79,9.93,11.34,,9,2.13,3.98,4.98,7.84,11.15,12.29,13.7
10,2.17,4.13,5.75,9.34,11.04,11.93,,10,2.17,4.13,5.13,8.11,11.7,13.4,14.29
11,2.2,4.29,5.99,9.87,11.39,12.34,,11,2.2,4.29,5.29,8.35,12.23,13.75,14.7
12,2.24,4.43,6.24,10.34,11.61,12.6,,12,2.24,4.43,5.43,8.6,12.7,13.97,14.96
13,2.29,4.6,6.48,10.78,11.87,12.9,,13,2.29,4.6,5.6,8.84,13.14,14.23,15.26
14,2.33,4.72,6.71,11.13,12.09,13.1,,14,2.33,4.72,5.72,9.07,13.49,14.45,15.46
15,2.38,4.89,6.92,11.48,12.31,13.32,,15,2.38,4.89,5.89,9.28,13.84,14.67,15.68
16,2.42,5.06,7.25,11.87,12.68,13.75,,16,2.42,5.06,6.06,9.61,14.23,15.04,16.11
17,2.47,5.21,7.47,12.06,12.91,13.93,,17,2.47,5.21,6.21,9.83,14.42,15.27,16.29
18,2.51,5.35,7.68,12.28,13.12,14.16,,18,2.51,5.35,6.35,10.04,14.64,15.48,16.52
19,2.56,5.5,7.91,12.52,13.34,14.38,,19,2.56,5.5,6.5,10.27,14.88,15.7,16.74
20,2.6,5.62,8.08,12.71,13.47,14.51,,20,2.6,5.62,6.62,10.44,15.07,15.83,16.87
21,2.65,5.77,8.4,13.08,13.85,14.9,,21,2.65,5.77,6.77,10.76,15.44,16.21,17.26
22,2.69,5.93,8.63,13.32,14.11,15.12,,22,2.69,5.93,6.93,10.99,15.68,16.47,17.48
