HTTP/1.1 200 OK
Content-Length: 3378
Content-Type: application/octet-stream
Last-Modified: Fri, 31 Dec 2010 22:28:50 GMT
Accept-Ranges: bytes
ETag: "0fdd4183aa9cb1:3617"
Server: Microsoft-IIS/6.0
Date: Sat, 28 May 2011 06:47:30 GMT
Connection: keep-alive

Parcel Select - NDC Presort,,,,,,,

,Zones,,,,,,
Weight Not Over (Pounds),1 & 2,3,4,5,6,7,8
1,4.87,4.92,5.02,5.07,5.12,5.18,5.26
2,4.97,5.32,5.97,7.24,7.79,8.29,9.12
3,5.69,6.54,7.53,8.33,9.04,9.53,10.53
4,6.40,7.41,8.42,9.49,10.47,11.20,12.22
5,7.19,8.51,9.42,10.33,11.24,12.15,13.05
6,7.80,9.10,9.95,10.80,11.65,12.50,13.88
7,8.34,9.80,10.43,11.60,12.32,12.82,14.71
8,8.96,10.31,11.16,12.00,12.85,13.69,15.54
9,9.52,10.92,11.79,12.66,13.52,14.39,16.37
10,10.12,11.59,12.52,13.45,14.38,15.30,17.20
11,10.57,12.17,13.19,14.21,15.24,16.26,18.03
12,11.10,12.75,13.82,14.89,15.96,17.02,18.94
13,11.27,13.06,14.24,15.42,16.65,17.78,19.84
14,11.44,13.36,14.66,15.96,17.34,18.53,20.74
15,11.61,13.67,15.08,16.49,18.00,19.30,21.65
16,11.79,13.97,15.50,17.03,18.62,20.04,22.56
17,12.31,14.28,15.92,17.56,19.25,20.80,23.46
18,12.83,14.59,16.34,18.09,19.85,21.57,24.37
19,13.02,14.89,16.76,18.63,20.47,22.32,25.26
20,13.21,15.20,17.18,19.16,21.08,23.07,26.18
21,13.41,15.50,17.60,19.70,21.74,23.85,27.10
22,13.60,15.81,18.02,20.23,22.40,24.62,28.03
23,13.79,16.11,18.44,20.77,23.07,25.40,28.95
24,13.98,16.42,18.86,21.30,23.73,26.17,29.88
25,14.17,16.73,19.28,21.84,24.39,26.95,30.80
26,14.38,17.05,19.72,22.39,25.05,27.72,31.73
27,14.59,17.38,20.16,22.94,25.72,28.50,32.65
28,14.81,17.70,20.59,23.49,26.38,29.27,33.57
29,15.02,18.02,21.03,24.04,27.04,30.05,34.50
30,15.23,18.35,21.47,24.59,27.70,30.82,35.42
31,15.49,18.67,21.90,25.14,28.37,31.60,36.35
32,15.80,19.00,22.34,25.69,29.03,32.37,37.27
33,16.12,19.32,22.78,26.23,29.69,33.15,38.20
34,16.43,19.65,23.22,26.78,30.35,33.92,39.12
35,16.74,19.97,23.65,27.33,31.01,34.70,40.05
36,16.90,20.30,24.09,27.88,31.68,35.47,40.97
37,17.06,20.62,24.53,28.43,32.34,36.24,41.90
38,17.22,20.95,24.97,28.98,33.00,37.02,42.82
39,17.37,21.27,25.40,29.53,33.66,37.79,43.75
40,17.53,21.60,25.84,30.08,34.33,38.57,44.67
41,17.68,21.92,26.28,30.63,34.99,39.34,45.60
42,17.84,22.25,26.72,31.18,35.65,40.12,46.52
43,18.00,22.57,27.15,31.73,36.31,40.89,47.45
44,18.21,22.90,27.59,32.28,36.98,41.67,48.37
45,18.42,23.22,28.03,32.83,37.64,42.44,49.30
46,18.63,23.55,28.47,33.38,38.30,43.22,50.22
47,18.84,23.87,28.90,33.93,38.96,43.99,51.15
48,19.05,24.20,29.34,34.48,39.63,44.77,52.07
49,19.27,24.52,29.78,35.03,40.29,45.54,53.00
50,19.48,24.85,30.21,35.58,40.95,46.32,53.92
51,19.69,25.03,30.46,35.93,41.53,47.09,54.85
52,19.90,25.21,30.70,36.28,42.10,47.87,55.77
53,20.12,25.39,30.95,36.63,42.67,48.64,56.70
54,20.33,25.57,31.19,36.97,43.25,49.42,57.62
55,20.54,25.75,31.44,37.32,43.82,50.19,58.55
56,20.75,25.93,31.68,37.67,44.40,50.97,59.47
57,20.97,26.11,31.93,38.02,44.97,51.74,60.40
58,21.18,26.30,32.17,38.36,45.55,52.52,61.32
59,21.39,26.48,32.41,38.71,46.12,53.29,62.25
60,21.60,26.66,32.66,39.06,46.70,54.07,63.17
61,21.82,26.84,32.90,39.41,47.27,54.84,64.10
62,22.03,27.02,33.15,39.75,47.85,55.62,65.02
63,22.24,27.20,33.39,40.10,48.42,56.39,65.95
64,22.45,27.38,33.64,40.45,49.00,57.17,66.87
65,22.67,27.56,33.88,40.80,49.57,57.94,67.80
66,22.88,27.74,34.12,41.15,50.15,58.72,68.72
67,23.09,27.92,34.37,41.49,50.72,59.49,69.64
68,23.30,28.11,34.61,41.84,51.30,60.26,70.57
69,23.51,28.29,34.86,42.19,51.87,61.04,71.49
70,23.73,28.47,35.10,42.54,52.45,61.81,72.42
Oversized,65.90,73.99,75.60,77.84,98.25,106.34,114.43

Barcode Discount of $0.03 not included.,,,,,,,
