HTTP/1.1 200 OK
Content-Length: 3372
Content-Type: application/octet-stream
Last-Modified: Fri, 31 Dec 2010 22:28:50 GMT
Accept-Ranges: bytes
ETag: "0fdd4183aa9cb1:754"
Server: Microsoft-IIS/6.0
Date: Sat, 28 May 2011 06:47:41 GMT
Connection: keep-alive

Parcel Select - ONDC Presort,,,,,,,

,Zones ,,,,,,
Weight Not Over (Pounds),1 & 2,3,4,5,6,7,8
1,3.95,4.00,4.10,4.15,4.20,4.26,4.34
2,4.05,4.40,5.05,6.32,6.87,7.37,8.20
3,4.77,5.62,6.61,7.41,8.12,8.61,9.61
4,5.48,6.49,7.50,8.57,9.55,10.28,11.30
5,6.27,7.59,8.50,9.41,10.32,11.23,12.13
6,6.88,8.18,9.03,9.88,10.73,11.58,12.96
7,7.42,8.88,9.51,10.68,11.40,11.90,13.79
8,8.04,9.39,10.24,11.08,11.93,12.77,14.62
9,8.60,10.00,10.87,11.74,12.60,13.47,15.45
10,9.20,10.67,11.60,12.53,13.46,14.38,16.28
11,9.65,11.25,12.27,13.29,14.32,15.34,17.11
12,10.18,11.83,12.90,13.97,15.04,16.10,18.02
13,10.35,12.14,13.32,14.50,15.73,16.86,18.92
14,10.52,12.44,13.74,15.04,16.42,17.61,19.82
15,10.69,12.75,14.16,15.57,17.08,18.38,20.73
16,10.87,13.05,14.58,16.11,17.70,19.12,21.64
17,11.39,13.36,15.00,16.64,18.33,19.88,22.54
18,11.91,13.67,15.42,17.17,18.93,20.65,23.45
19,12.10,13.97,15.84,17.71,19.55,21.40,24.34
20,12.29,14.28,16.26,18.24,20.16,22.15,25.26
21,12.49,14.58,16.68,18.78,20.82,22.93,26.18
22,12.68,14.89,17.10,19.31,21.48,23.70,27.11
23,12.87,15.19,17.52,19.85,22.15,24.48,28.03
24,13.06,15.50,17.94,20.38,22.81,25.25,28.96
25,13.25,15.81,18.36,20.92,23.47,26.03,29.88
26,13.46,16.13,18.80,21.47,24.13,26.80,30.81
27,13.67,16.46,19.24,22.02,24.80,27.58,31.73
28,13.89,16.78,19.67,22.57,25.46,28.35,32.65
29,14.10,17.10,20.11,23.12,26.12,29.13,33.58
30,14.31,17.43,20.55,23.67,26.78,29.90,34.50
31,14.57,17.75,20.98,24.22,27.45,30.68,35.43
32,14.88,18.08,21.42,24.77,28.11,31.45,36.35
33,15.20,18.40,21.86,25.31,28.77,32.23,37.28
34,15.51,18.73,22.30,25.86,29.43,33.00,38.20
35,15.82,19.05,22.73,26.41,30.09,33.78,39.13
36,15.98,19.38,23.17,26.96,30.76,34.55,40.05
37,16.14,19.70,23.61,27.51,31.42,35.32,40.98
38,16.30,20.03,24.05,28.06,32.08,36.10,41.90
39,16.45,20.35,24.48,28.61,32.74,36.87,42.83
40,16.61,20.68,24.92,29.16,33.41,37.65,43.75
41,16.76,21.00,25.36,29.71,34.07,38.42,44.68
42,16.92,21.33,25.80,30.26,34.73,39.20,45.60
43,17.08,21.65,26.23,30.81,35.39,39.97,46.53
44,17.29,21.98,26.67,31.36,36.06,40.75,47.45
45,17.50,22.30,27.11,31.91,36.72,41.52,48.38
46,17.71,22.63,27.55,32.46,37.38,42.30,49.30
47,17.92,22.95,27.98,33.01,38.04,43.07,50.23
48,18.13,23.28,28.42,33.56,38.71,43.85,51.15
49,18.35,23.60,28.86,34.11,39.37,44.62,52.08
50,18.56,23.93,29.29,34.66,40.03,45.40,53.00
51,18.77,24.11,29.54,35.01,40.61,46.17,53.93
52,18.98,24.29,29.78,35.36,41.18,46.95,54.85
53,19.20,24.47,30.03,35.71,41.75,47.72,55.78
54,19.41,24.65,30.27,36.05,42.33,48.50,56.70
55,19.62,24.83,30.52,36.40,42.90,49.27,57.63
56,19.83,25.01,30.76,36.75,43.48,50.05,58.55
57,20.05,25.19,31.01,37.10,44.05,50.82,59.48
58,20.26,25.38,31.25,37.44,44.63,51.60,60.40
59,20.47,25.56,31.49,37.79,45.20,52.37,61.33
60,20.68,25.74,31.74,38.14,45.78,53.15,62.25
61,20.90,25.92,31.98,38.49,46.35,53.92,63.18
62,21.11,26.10,32.23,38.83,46.93,54.70,64.10
63,21.32,26.28,32.47,39.18,47.50,55.47,65.03
64,21.53,26.46,32.72,39.53,48.08,56.25,65.95
65,21.75,26.64,32.96,39.88,48.65,57.02,66.88
66,21.96,26.82,33.20,40.23,49.23,57.80,67.80
67,22.17,27.00,33.45,40.57,49.80,58.57,68.72
68,22.38,27.19,33.69,40.92,50.38,59.34,69.65
69,22.59,27.37,33.94,41.27,50.95,60.12,70.57
70,22.81,27.55,34.18,41.62,51.53,60.89,71.50
Oversized,64.98,73.07,74.68,76.92,97.33,105.42,113.51

Barcode Discount of $0.03 not included.,,,,,,,
