HTTP/1.1 200 OK
Server: Netscape-Enterprise/6.0
Cteonnt-length: 3329
Content-Type: text/csv
ETag: "72c3f0ab-a3-0-d01"
Last-Modified: Wed, 30 Mar 2011 20:29:07 GMT
Date: Sat, 28 May 2011 06:46:57 GMT
Content-Length: 3329
Connection: keep-alive

Parcel Post,,,,,,,
,,,,,,,
Weight Not Over (Pounds),Zones 1&2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8
1,5.1,5.15,5.25,5.3,5.34,5.38,5.41
2,5.15,5.38,5.89,7.35,7.65,7.96,8.67
3,5.65,6.39,7.14,8.23,9,9.48,10.69
4,6.1,7.14,7.97,9.3,10.13,10.76,11.77
5,7.23,8.28,9.02,10.12,10.82,11.39,12.29
6,7.92,9.15,9.94,10.94,11.45,12.02,13.03
7,8.37,9.86,10.49,11.8,12.36,13.01,14.15
8,8.7,10.34,10.86,12.17,12.96,13.74,15.03
9,8.95,10.69,11.24,12.55,13.56,14.47,15.9
10,9.18,11.03,11.61,12.92,14.16,15.21,16.77
11,9.49,11.38,11.99,13.29,14.76,15.94,17.65
12,9.8,11.72,12.36,13.66,15.36,16.67,18.52
13,10.11,12.06,12.74,14.03,15.96,17.4,19.39
14,10.42,12.41,13.11,14.4,16.56,18.13,20.27
15,10.73,12.75,13.49,14.77,17.16,18.86,21.14
16,11.04,13.1,13.87,15.14,17.76,19.59,22.01
17,11.34,13.44,14.24,15.51,18.36,20.33,22.89
18,11.65,13.79,14.6,15.99,18.96,21.06,23.76
19,11.96,14.13,14.95,16.47,19.56,21.79,24.64
20,12.27,14.48,15.3,16.94,20.16,22.52,25.51
21,12.58,14.82,15.66,17.42,20.76,23.25,26.38
22,12.89,15.17,16.01,17.89,21.36,23.98,27.26
23,13.2,15.51,16.37,18.37,21.96,24.71,28.13
24,13.51,15.86,16.72,18.84,22.56,25.45,29
25,13.82,16.2,17.07,19.32,23.16,26.18,29.88
26,14.13,16.55,17.43,19.8,23.76,26.91,30.75
27,14.44,16.89,17.78,20.27,24.36,27.64,31.63
28,14.75,17.24,18.14,20.75,24.96,28.37,32.5
29,15.06,17.58,18.49,21.22,25.56,29.1,33.37
30,15.37,17.93,18.85,21.7,26.16,29.83,34.25
31,15.68,18.27,19.2,22.17,26.76,30.57,35.12
32,15.99,18.62,19.55,22.65,27.37,31.3,35.99
33,16.3,18.96,19.91,23.13,27.97,32.03,36.87
34,16.61,19.31,20.26,23.6,28.57,32.76,37.74
35,16.92,19.65,20.62,24.08,29.17,33.49,38.61
36,17.07,20,20.97,24.55,29.77,34.22,39.49
37,17.23,20.34,21.33,25.03,30.37,34.95,40.36
38,17.39,20.68,21.68,25.5,30.97,35.69,41.24
39,17.54,21.03,22.03,25.98,31.57,36.42,42.11
40,17.7,21.37,22.39,26.46,32.17,37.15,42.98
41,17.85,21.72,22.74,26.93,32.77,37.88,43.86
42,18.01,22.06,23.1,27.41,33.37,38.61,44.73
43,18.17,22.23,23.45,27.88,33.97,39.34,45.6
44,18.32,22.4,23.81,28.36,34.57,40.07,46.48
45,18.48,22.57,24.16,28.83,35.17,40.81,47.35
46,18.64,22.74,24.51,29.31,35.77,41.54,48.23
47,18.79,22.91,24.87,29.79,36.37,42.27,49.1
48,18.95,23.08,25.22,30.26,36.97,43,49.97
49,19.11,23.25,25.58,30.74,37.57,43.73,50.85
50,19.26,23.42,25.93,31.21,38.17,44.46,51.72
51,19.42,23.59,26.29,31.69,38.77,45.19,52.59
52,19.58,23.76,26.64,32.16,39.37,45.93,53.47
53,19.73,23.93,26.99,32.64,39.97,46.66,54.34
54,19.89,24.1,27.35,33.12,40.57,47.39,55.21
55,20.05,24.27,27.7,33.59,41.17,48.12,56.09
56,20.2,24.44,28.06,34.07,41.77,48.85,56.96
57,20.36,24.61,28.41,34.54,42.37,49.58,57.84
58,20.51,24.78,28.77,35.02,42.97,50.31,58.71
59,20.67,24.95,29.12,35.5,43.57,51.05,59.58
60,20.83,25.12,29.47,35.97,44.17,51.78,60.46
61,20.98,25.29,29.83,36.45,44.77,52.51,61.33
62,21.14,25.46,30.18,36.92,45.37,53.24,62.2
63,21.3,25.63,30.54,37.4,45.97,53.97,63.08
64,21.45,25.8,30.89,37.87,46.57,54.7,63.95
65,21.61,25.97,31.24,38.35,47.17,55.43,64.83
66,21.77,26.14,31.6,38.83,47.77,56.17,65.7
67,21.92,26.31,31.95,39.3,48.37,56.9,66.57
68,22.08,26.48,32.31,39.78,48.97,57.63,67.45
69,22.44,26.89,32.96,40.62,50.02,58.89,68.94
70,22.79,27.3,33.61,41.46,51.07,60.15,70.43
Balloon,12.27,14.48,15.3,16.94,20.16,22.52,25.51
Oversized,61.8,64.65,65.94,67.89,90.92,96.82,107.16
