HTTP/1.1 200 OK
Content-Length: 3761
Content-Type: application/octet-stream
Last-Modified: Fri, 31 Dec 2010 22:28:52 GMT
Accept-Ranges: bytes
ETag: "02a61a3aa9cb1:9de"
Server: Microsoft-IIS/6.0
X-Powered-By: ASP.NET
Date: Sat, 28 May 2011 06:44:27 GMT
Connection: keep-alive

Priority Mail - Commercial Base ,,,,,,,

Weight Not Over (Pounds),L 1 & 2,3,4,5,6,7,8
1,4.80,4.90,5.05,5.19,5.34,5.49,5.83
2,4.97,5.08,5.58,7.15,7.83,8.36,9.37
3,5.16,5.96,7.03,8.47,9.68,10.44,12.14
4,5.81,6.88,8.06,10.51,12.29,13.12,14.62
5,6.81,7.98,9.18,12.18,14.05,15.09,16.93
6,7.63,8.91,10.36,13.86,15.74,17.19,19.36
7,8.13,9.71,11.17,15.74,17.42,19.41,21.78
8,8.73,10.56,12.68,17.30,19.11,21.34,24.45
9,9.10,11.38,13.52,18.64,20.84,23.18,27.20
10,9.80,12.24,14.71,20.17,22.48,25.44,29.57
11,10.61,13.08,15.89,21.76,24.17,27.70,32.02
12,11.35,14.01,17.04,23.36,26.33,29.96,34.39
13,12.05,14.89,17.96,24.62,28.26,31.15,35.57
14,12.75,15.79,19.05,26.16,29.82,32.94,37.33
15,13.32,16.67,20.12,27.70,31.03,33.52,38.30
16,13.71,17.57,21.21,29.19,32.75,35.40,40.46
17,14.23,18.45,22.33,30.73,34.43,37.24,42.61
18,14.50,19.06,23.41,32.23,36.22,39.10,44.72
19,14.93,19.47,23.87,33.09,37.89,40.93,46.84
20,15.55,19.72,24.32,33.67,38.85,42.44,49.02
21,16.07,20.00,24.67,34.21,39.45,43.12,50.11
22,16.23,20.20,24.80,34.59,39.90,43.70,50.80
23,16.61,20.60,25.50,35.18,40.62,44.42,51.70
24,17.01,21.05,26.31,35.94,41.44,45.46,52.98
25,17.39,21.39,27.11,36.53,42.07,46.13,53.89
26,17.73,21.61,27.99,37.29,43.06,47.13,55.56
27,18.25,21.92,28.85,38.01,43.65,47.82,57.67
28,18.82,22.21,29.64,39.00,44.27,48.49,59.80
29,19.39,22.44,30.46,39.53,44.99,49.17,61.39
30,19.99,22.76,31.17,40.10,46.25,49.89,62.74
31,20.51,22.97,31.66,40.60,46.93,51.26,64.02
32,20.77,23.49,32.19,41.09,47.57,52.66,65.31
33,21.07,24.11,32.99,41.64,48.20,54.05,66.52
34,21.28,24.76,33.82,42.52,49.60,55.41,67.75
35,21.53,25.37,34.31,43.42,50.94,56.81,68.94
36,21.80,26.08,34.77,44.36,52.23,57.81,70.12
37,22.01,26.55,35.26,45.16,53.55,59.13,71.26
38,22.23,27.21,35.71,46.05,55.09,60.47,72.39
39,22.44,27.81,36.14,47.00,56.39,62.07,73.50
40,22.70,28.41,36.59,47.99,57.28,63.46,74.53
41,22.92,28.92,36.99,48.42,58.24,64.82,75.58
42,23.10,29.51,37.44,49.45,59.26,65.69,76.63
43,23.35,29.98,37.80,50.58,60.70,66.49,77.63
44,23.52,30.47,38.25,51.65,61.68,67.26,78.53
45,23.69,30.78,38.56,52.81,62.37,68.03,79.48
46,23.86,31.03,38.96,53.79,63.04,68.75,80.44
47,24.08,31.25,39.31,55.02,63.67,69.52,81.34
48,24.25,31.56,39.63,56.08,64.52,70.20,82.22
49,24.43,31.78,39.98,57.10,65.38,70.89,83.02
50,24.55,32.00,40.24,58.23,66.29,71.83,83.90
51,24.91,32.27,40.60,59.22,67.18,72.78,84.67
52,25.27,32.43,40.87,59.65,67.90,73.78,85.68
53,25.72,32.66,41.13,60.15,68.44,74.74,86.81
54,26.08,32.82,41.45,60.65,68.97,75.36,87.99
55,26.49,33.07,41.67,61.04,69.47,75.96,89.17
56,26.90,33.24,41.95,61.50,69.96,76.49,90.08
57,27.30,33.41,42.21,61.85,70.47,76.99,90.89
58,27.71,33.54,42.42,62.25,70.88,77.49,91.64
59,28.11,33.72,42.61,62.62,71.32,77.98,92.29
60,28.46,33.89,43.15,62.98,71.68,78.44,92.95
61,28.91,34.02,43.94,63.29,72.09,78.88,94.22
62,29.28,34.11,44.54,63.56,72.44,79.26,95.72
63,29.77,34.23,45.23,63.92,72.80,79.67,97.22
64,30.08,34.32,45.92,64.18,73.12,80.02,98.76
65,30.49,34.41,46.51,64.40,73.39,80.38,100.26
66,30.90,34.54,47.25,64.68,73.70,80.64,101.72
67,31.35,34.63,48.03,64.90,73.98,80.98,103.09
68,31.71,34.72,48.67,65.08,74.21,81.35,104.18
69,32.16,34.77,49.27,65.31,74.43,81.74,105.31
70,32.51,34.85,50.05,65.48,74.61,82.05,106.40
Balloon,15.55,19.72,24.32,,,,
"Flat Rate Envs 12-1/2"" x 9-1/2"" or smaller",4.75,4.75,4.75,4.75,4.75,4.75,4.75
Legal Flat Rate Envelope,4.95,4.95,4.95,4.95,4.95,4.95,4.95
Padded Flat Rate Envelope,4.95,4.95,4.95,4.95,4.95,4.95,4.95
Small Flat Rate Box,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Medium Flat Rate Boxes,10.50,10.50,10.50,10.50,10.50,10.50,10.50
Large Flat Rate Box,14.20,14.20,14.20,14.20,14.20,14.20,14.20
APO/FPO/DPO Large FRB,12.20,12.20,12.20,12.20,12.20,12.20,12.20
