HTTP/1.1 200 OK
Content-Length: 3775
Content-Type: application/octet-stream
Last-Modified: Fri, 31 Dec 2010 22:28:52 GMT
Accept-Ranges: bytes
ETag: "02a61a3aa9cb1:736"
Server: Microsoft-IIS/6.0
Date: Sat, 28 May 2011 06:29:42 GMT
Connection: keep-alive

Priority Mail - Retail,,,,,,,

Weight Not Over (Pounds),L 1 & 2,3,4,5,6,7,8
1,5.10,5.15,5.25,5.35,5.45,5.60,5.95
2,5.20,5.55,6.20,7.90,8.60,9.15,10.20
3,5.95,6.80,7.80,9.35,10.35,11.15,13.20
4,6.70,7.85,8.95,12.40,13.50,14.35,15.90
5,7.95,9.10,10.25,14.05,15.45,16.50,18.35
6,8.75,10.05,11.50,15.65,17.30,18.50,20.70
7,9.30,10.95,12.40,17.45,19.15,20.85,23.30
8,10.00,11.90,13.85,18.95,21.00,22.95,26.10
9,10.65,12.85,15.00,20.55,22.90,24.90,29.05
10,11.35,13.80,16.35,22.20,24.70,27.35,31.60
11,12.15,14.75,17.60,23.95,26.55,30.20,34.70
12,13.00,15.80,18.90,25.70,28.85,32.65,37.30
13,13.80,16.80,19.95,27.20,30.95,33.95,38.60
14,14.60,17.80,21.15,28.90,32.65,35.90,40.50
15,15.25,18.80,22.35,30.60,34.10,36.65,41.65
16,15.70,19.80,23.55,32.25,36.00,38.70,44.00
17,16.30,20.80,24.80,33.95,37.85,40.70,46.35
18,16.60,21.50,26.00,35.60,39.80,42.75,48.65
19,17.10,21.95,26.50,36.55,41.65,44.75,50.95
20,17.80,22.25,27.00,37.20,42.70,46.40,53.30
21,18.40,22.55,27.40,37.80,43.35,47.15,54.50
22,18.80,23.05,27.85,38.65,44.35,48.30,55.85
23,19.25,23.50,28.65,39.30,45.15,49.10,56.85
24,19.70,24.00,29.55,40.15,46.05,50.25,58.25
25,20.15,24.40,30.45,40.80,46.75,51.00,59.25
26,20.55,24.65,31.45,41.65,47.85,52.10,61.10
27,21.15,25.00,32.40,42.45,48.50,52.85,63.40
28,21.80,25.35,33.30,43.55,49.20,53.60,65.75
29,22.45,25.60,34.20,44.15,50.00,54.35,67.50
30,23.15,25.95,35.00,44.80,51.40,55.15,69.00
31,23.75,26.20,35.55,45.35,52.15,56.65,70.40
32,24.05,26.80,36.15,45.90,52.85,58.20,71.80
33,24.40,27.50,37.05,46.50,53.55,59.75,73.15
34,24.65,28.25,38.00,47.50,55.10,61.25,74.50
35,24.95,28.95,38.55,48.50,56.60,62.80,75.80
36,25.25,29.75,39.05,49.55,58.05,63.90,77.10
37,25.50,30.30,39.60,50.45,59.50,65.35,78.35
38,25.75,31.05,40.10,51.45,61.20,66.85,79.60
39,26.00,31.70,40.60,52.50,62.65,68.60,80.80
40,26.30,32.40,41.10,53.60,63.65,70.15,81.95
41,26.55,33.00,41.55,54.10,64.70,71.65,83.10
42,26.75,33.65,42.05,55.25,65.85,72.60,84.25
43,27.05,34.20,42.45,56.50,67.45,73.50,85.35
44,27.25,34.75,42.95,57.70,68.55,74.35,86.35
45,27.45,35.10,43.30,59.00,69.30,75.20,87.40
46,27.65,35.40,43.75,60.10,70.05,76.00,88.45
47,27.90,35.65,44.15,61.45,70.75,76.85,89.45
48,28.10,36.00,44.50,62.65,71.70,77.60,90.40
49,28.30,36.25,44.90,63.80,72.65,78.35,91.30
50,28.45,36.50,45.20,65.05,73.65,79.40,92.25
51,28.60,36.80,45.60,66.15,74.65,80.45,93.10
52,28.90,37.00,45.90,66.65,75.45,81.55,94.20
53,29.40,37.25,46.20,67.20,76.05,82.60,95.45
54,29.80,37.45,46.55,67.75,76.65,83.30,96.75
55,30.30,37.70,46.80,68.20,77.20,83.95,98.05
56,30.75,37.90,47.10,68.70,77.75,84.55,98.95
57,31.20,38.10,47.40,69.10,78.30,85.10,99.70
58,31.65,38.25,47.65,69.55,78.75,85.65,100.45
59,32.15,38.45,47.85,69.95,79.25,86.20,101.20
60,32.55,38.65,48.35,70.35,79.65,86.70,101.90
61,33.05,38.80,49.20,70.70,80.10,87.20,103.30
62,33.45,38.90,49.85,71.00,80.50,87.60,104.95
63,34.05,39.05,50.65,71.40,80.90,88.05,106.60
64,34.40,39.15,51.40,71.70,81.25,88.45,108.25
65,34.85,39.25,52.10,71.95,81.55,88.85,109.90
66,35.30,39.40,52.90,72.25,81.90,89.15,111.50
67,35.85,39.50,53.80,72.50,82.20,89.50,113.00
68,36.25,39.60,54.50,72.70,82.45,89.80,114.20
69,36.75,39.65,55.15,72.95,82.70,90.10,115.45
70,37.15,39.75,56.05,73.15,82.90,90.45,116.65
Balloon,17.80,22.25,27.00,,,,
,,,,,,,
"Flat Rate Envs 12-1/2"" x 9-1/2"" or smaller",4.95,4.95,4.95,4.95,4.95,4.95,4.95
Legal Flat Rate Envelope,4.95,4.95,4.95,4.95,4.95,4.95,4.95
Padded Flat Rate Envelope,4.95,4.95,4.95,4.95,4.95,4.95,4.95
Small Flat Rate Box,5.20,5.20,5.20,5.20,5.20,5.20,5.20
Medium Flat Rate Boxes,10.95,10.95,10.95,10.95,10.95,10.95,10.95
Large Flat Rate Box,14.95,14.95,14.95,14.95,14.95,14.95,14.95
APO/FPO/DPO Large FRB,12.95,12.95,12.95,12.95,12.95,12.95,12.95
