FedEx Express U.S. Package Standard List Rates: FedEx Standard Overnight®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
FedEx® Envelope up to 8 oz.	$15.50 	$18.55 	$23.10 	$24.35 	$24.50 	$26.05 	$27.30 	$31.30 	-	$19.75 
1	$17.75 	$24.10 	$32.65 	$36.20 	$39.30 	$41.90 	$43.05 	$45.05 	-	$27.85 
2	$19.10 	$25.50 	$36.80 	$40.05 	$44.35 	$46.15 	$48.05 	$50.65 	-	$29.60 
3	$20.40 	$27.00 	$40.75 	$44.35 	$49.20 	$50.75 	$52.50 	$54.85 	-	$33.70 
4	$21.95 	$28.80 	$44.20 	$48.60 	$53.70 	$55.25 	$57.45 	$60.30 	-	$37.45 
5	$22.60 	$29.20 	$48.30 	$52.85 	$57.30 	$58.90 	$60.95 	$64.90 	-	$39.25 
6	$23.90 	$32.85 	$52.25 	$56.35 	$62.10 	$63.05 	$65.75 	$70.40 	-	$46.20 
7	$24.35 	$34.25 	$55.90 	$61.20 	$66.45 	$67.85 	$70.25 	$74.60 	-	$47.00 
8	$25.60 	$35.25 	$59.55 	$65.15 	$70.95 	$72.65 	$74.70 	$78.70 	-	$50.90 
9	$26.95 	$36.80 	$62.90 	$69.35 	$75.35 	$77.40 	$79.50 	$84.20 	-	$53.65 
10	$27.55 	$38.25 	$65.80 	$73.00 	$79.80 	$81.90 	$84.25 	$89.15 	-	$58.15 
11	$28.50 	$39.95 	$69.25 	$77.00 	$84.25 	$86.70 	$88.80 	$94.55 	-	$60.50 
12	$29.45 	$41.90 	$73.00 	$80.55 	$88.35 	$91.45 	$93.55 	$98.10 	-	$65.25 
13	$29.85 	$44.05 	$76.45 	$84.20 	$91.95 	$96.25 	$98.10 	$102.75 	-	$66.95 
14	$30.90 	$45.70 	$80.40 	$87.80 	$95.50 	$100.45 	$102.90 	$108.15 	-	$68.90 
15	$32.15 	$47.30 	$83.15 	$91.35 	$99.05 	$103.75 	$106.80 	$112.35 	-	$70.90 
16	$32.80 	$48.40 	$87.15 	$94.70 	$102.30 	$106.45 	$109.50 	$115.20 	-	$72.60 
17	$34.50 	$49.30 	$89.60 	$97.70 	$104.70 	$108.85 	$111.85 	$117.85 	-	$74.65 
18	$35.50 	$50.60 	$92.30 	$99.75 	$107.00 	$111.25 	$114.85 	$120.70 	-	$77.45 
19	$36.45 	$52.00 	$94.50 	$101.85 	$109.45 	$113.70 	$117.85 	$125.00 	-	$80.75 
20	$37.10 	$53.50 	$101.85 	$110.70 	$118.45 	$123.40 	$127.90 	$132.50 	-	$82.10 
21	$38.10 	$54.55 	$104.55 	$113.40 	$121.95 	$126.95 	$131.40 	$135.10 	-	$86.50 
22	$39.45 	$55.75 	$107.20 	$116.00 	$125.05 	$130.40 	$134.20 	$138.40 	-	$87.80 
23	$40.10 	$56.75 	$110.20 	$118.90 	$127.90 	$133.20 	$137.40 	$139.45 	-	$87.85 
24	$41.15 	$57.70 	$113.10 	$121.90 	$131.35 	$136.10 	$140.20 	$145.50 	-	$90.35 
25	$42.10 	$58.95 	$116.10 	$125.80 	$134.75 	$140.90 	$143.60 	$149.30 	-	$91.95 
26	$43.00 	$60.60 	$119.45 	$128.80 	$137.90 	$143.85 	$146.75 	$152.65 	-	$97.75 
27	$43.70 	$62.25 	$122.55 	$131.65 	$140.55 	$147.45 	$150.55 	$156.05 	-	$101.50 
28	$45.00 	$63.90 	$125.80 	$134.35 	$144.05 	$150.80 	$154.85 	$160.25 	-	$103.55 
29	$46.00 	$65.05 	$128.60 	$137.05 	$146.75 	$153.55 	$159.05 	$163.10 	-	$105.40 
30	$46.70 	$65.80 	$132.00 	$140.10 	$150.25 	$156.35 	$162.10 	$165.65 	-	$108.90 
31	$47.65 	$66.55 	$134.75 	$143.60 	$153.55 	$159.05 	$165.40 	$168.60 	-	$111.25 
32	$48.65 	$67.65 	$137.05 	$146.75 	$157.05 	$162.20 	$168.55 	$171.85 	-	$113.75 
33	$49.70 	$69.05 	$139.85 	$149.75 	$161.00 	$165.20 	$172.30 	$175.75 	-	$116.45 
34	$50.55 	$70.60 	$143.25 	$152.45 	$164.50 	$168.80 	$175.75 	$179.20 	-	$118.90 
35	$52.00 	$71.95 	$146.25 	$155.55 	$167.65 	$172.50 	$179.10 	$182.80 	-	$121.65 
36	$52.95 	$73.50 	$149.35 	$158.70 	$171.00 	$175.70 	$183.00 	$187.05 	-	$124.40 
37	$53.95 	$74.50 	$153.35 	$162.55 	$174.50 	$178.75 	$185.35 	$191.60 	-	$127.15 
38	$54.90 	$76.00 	$156.75 	$166.40 	$178.00 	$181.35 	$188.45 	$195.50 	-	$129.90 
39	$56.30 	$77.80 	$159.80 	$169.90 	$182.30 	$184.50 	$191.95 	$199.60 	-	$132.70 
40	$57.20 	$79.60 	$162.80 	$173.80 	$186.20 	$188.45 	$196.15 	$202.95 	-	$135.40 
41	$58.20 	$80.70 	$165.85 	$177.20 	$189.95 	$191.95 	$200.35 	$207.65 	-	$138.15 
42	$59.20 	$81.80 	$168.80 	$181.15 	$193.80 	$195.75 	$205.05 	$211.80 	-	$140.90 
43	$60.20 	$83.60 	$171.80 	$184.95 	$197.30 	$199.70 	$209.60 	$215.55 	-	$143.00 
44	$61.25 	$85.05 	$175.00 	$188.45 	$201.65 	$203.05 	$214.30 	$219.75 	-	$145.05 
45	$62.25 	$86.90 	$178.00 	$191.95 	$205.40 	$206.90 	$218.20 	$221.45 	-	$147.50 
46	$63.20 	$88.35 	$181.35 	$195.00 	$208.90 	$210.90 	$221.70 	$226.95 	-	$150.25 
47	$64.50 	$90.20 	$184.95 	$198.10 	$212.05 	$215.15 	$225.05 	$230.65 	-	$152.95 
48	$65.50 	$92.00 	$188.20 	$201.65 	$215.40 	$218.50 	$228.25 	$233.75 	-	$153.00 
49	$66.50 	$93.80 	$190.90 	$203.95 	$218.70 	$222.10 	$230.40 	$233.80 	-	$157.10 
50	$67.75 	$95.20 	$190.95 	$204.00 	$218.75 	$222.15 	$230.45 	$233.85 	-	$157.15 
